year	rho	sigma_sampling
1880	0.726517374517	0.00247732499301
1881	0.648255615484	0.00278995624033
1882	0.707762049114	0.0023983922811
1883	0.67808524173	0.00263494358447
1884	0.652490954634	0.00251212760486
1885	0.640621935845	0.00253964487327
1886	0.63162711244	0.00266413659479
1887	0.67436497005	0.00265218348453
1888	0.601495691757	0.00279173958942
1889	0.641694003606	0.00260672431495
1890	0.59663762047	0.00272216884676
1891	0.650272007126	0.00268979889546
1892	0.64725590773	0.00260183067553
1893	0.68323154507	0.00234191363227
1894	0.660265919455	0.00248236920877
1895	0.736732080796	0.00225128358242
1896	0.674550780396	0.00219064688801
1897	0.707582938389	0.00216092232125
1898	0.689922786007	0.00205276929781
1899	0.717422896819	0.00202283550336
1900	0.741566631957	0.00194041560542
1901	0.690407903123	0.00194529328536
1902	0.714800834714	0.00176862649265
1903	0.531516912773	0.00191657530914
1904	0.395643203883	0.00170347182286
1905	0.325865102639	0.00160525908972
1906	0.282221381881	0.00147941586927
1907	0.25559833425	0.00136701935056
1908	0.209857647236	0.001247809887
1909	0.211885278462	0.00148699110432
1910	0.198158985613	0.00139184584117
1911	0.183607470749	0.00134742494293
1912	0.155931656595	0.0012779306649
1913	0.13059848925	0.00114869262955
1914	0.13698324901	0.00124479590669
1915	0.155957629316	0.00162046970492
1916	0.125366551148	0.00163013465585
1917	0.140001480714	0.00172375321401
1918	0.111342293201	0.00166793769836
1919	0.093632686672	0.00143366828396
1920	0.0921086726863	0.00129106905995
1921	0.0751449616048	0.00116680263455
1922	0.0673004213028	0.00106308753194
1923	0.0815671162492	0.00112523999999
1924	0.0725998516378	0.00114645291934
1925	0.0487109864534	0.000831460404751
1926	0.0514727995062	0.000879078008432
1927	0.0449670916371	0.000811700957897
1928	0.0583704528582	0.000853608554654
1929	0.0631014775991	0.000935576023153
1930	0.0682969846138	0.000915162981904
