year	rho	sigma_sampling
1980	0.0602308716556	0.00010714628113
1981	0.0595285761787	0.000106998010484
1982	0.0532978482541	0.000102848672085
1983	0.0575643145249	0.000106010526313
1984	0.047101611542	9.87817484784e-05
1985	0.058036933011	0.000114922976812
1986	0.0538357332548	0.000112781164849
1987	0.0547118427207	0.000114812160189
1988	0.0530116573541	0.00010739362209
1989	0.0552369648132	0.000110772557147
1990	0.0548487828838	0.000109081119581
1991	0.0593682717195	0.000117115213781
1992	0.0707389443262	0.000126628493147
1993	0.0625697239394	0.000113627709945
1994	0.0600663804177	0.000112708996778
1995	0.0571316239812	0.000104188602018
1996	0.0544213205076	0.000105606608507
1997	0.0750715874765	0.000121274110683
1998	0.0861078964487	0.000130214789748
1999	0.127662214906	0.000141937891986
2000	0.310495303425	0.000184188418768
2001	0.442038343257	0.000196855667275
2002	0.536237440956	0.00018782099645
2003	0.630220183685	0.000175404585309
2004	0.68552940235	0.000157895748804
2005	0.722487312098	0.000153172824904
2006	0.775512437342	0.000139568959227
2007	0.827220352958	0.000117347196372
2008	0.85343483987	0.000107062601579
