year	rho	sigma_sampling
1980	0.050585002796	0.000126964313546
1981	0.0497897762017	0.000126112837936
1982	0.0422415330323	0.00011824148702
1983	0.0471227482953	0.000123776472226
1984	0.0363885994687	0.00011251258935
1985	0.0478520221967	0.000134989440865
1986	0.0421158037589	0.000129254416474
1987	0.0432865399658	0.000132256120955
1988	0.0426748254806	0.000124639228345
1989	0.0431796070264	0.000127131343554
1990	0.0425927919303	0.000124762334446
1991	0.046295377486	0.000134275697036
1992	0.0584610314847	0.000148910896282
1993	0.0502944512969	0.000131868385592
1994	0.0452540329723	0.00012733909664
1995	0.0429570908089	0.000116941455331
1996	0.0385749647949	0.000115631843951
1997	0.0580052129985	0.000138403182947
1998	0.0697000160419	0.000152037213416
1999	0.111919311356	0.000172186100775
2000	0.297257327239	0.000234666595251
2001	0.426356735516	0.000253256607578
2002	0.52238802408	0.0002440207648
2003	0.620237469159	0.000228187602911
2004	0.673496028071	0.000206955639768
2005	0.71192589942	0.000201747009936
2006	0.768626547675	0.000183996304196
2007	0.823123980538	0.000154747065796
2008	0.852374534322	0.000139837197414
