year	rho	sigma_sampling
1980	0.0559169774895	0.00034265534296
1981	0.0520221536768	0.000336300569303
1982	0.0454545454545	0.000320648108828
1983	0.0510775952808	0.000336704798667
1984	0.0391814801302	0.000301598830342
1985	0.0531071796494	0.000368741359074
1986	0.042420932096	0.000335599892836
1987	0.0446192607456	0.000345641149011
1988	0.0433899513927	0.00032750531473
1989	0.0456215392108	0.000339478289784
1990	0.0422688272659	0.000316564094189
1991	0.0493865284403	0.000359781179376
1992	0.0621170338988	0.000397258809572
1993	0.0552796498558	0.000349523088041
1994	0.0495909740444	0.000342541541352
1995	0.0475146525883	0.000326450735226
1996	0.0418117246022	0.000316655670017
1997	0.0648573841824	0.000386462141919
1998	0.0777299326488	0.00041939646133
1999	0.126141258424	0.000476633239246
2000	0.320563070054	0.000618024805959
2001	0.467361524204	0.000655146022556
2002	0.562834997997	0.000614462020521
2003	0.651572726858	0.000568849894326
2004	0.714303754325	0.000500199067439
2005	0.744865442225	0.000473334907962
2006	0.796179157073	0.000432012590499
2007	0.841514024246	0.00035698881913
2008	0.863471095937	0.000331392182914
