year	rho	sigma_sampling
1803	0.833333333333	0.0878410461158
1805	0.0737704918033	0.0236657749598
1811	0.178571428571	0.0511795985912
1812	0.5	0.353553390593
1819	0.0322580645161	0.0317335081831
1823	0.25	0.108253175473
1826	0.013698630137	0.0136044803606
1828	0.0185185185185	0.0183462494857
1830	0.034188034188	0.0167992705647
1831	0.0208333333333	0.0119021781257
1834	0.0414746543779	0.0135351577395
1835	0.107843137255	0.0307126139702
1838	0.00568181818182	0.00566565365921
1840	0.0418848167539	0.0144950756902
1844	0.00327868852459	0.00327330921248
1845	0.00227272727273	0.00227014315902
1846	0.00248138957816	0.00247830901884
1847	0.00375939849624	0.00265329466748
1848	0.0104166666667	0.00732723221186
1852	0.0194174757282	0.00608043773407
1853	0.0165975103734	0.0082295976878
1854	0.00564971751412	0.00325263856564
1856	0.0925480769231	0.0100469409321
1859	0.0209302325581	0.00690334565387
1860	0.00423728813559	0.00298986052224
1861	0.00289855072464	0.00167105194915
1863	0.020618556701	0.00545343547671
1864	0.00945626477541	0.00470572405121
1865	0.00329760923331	0.0016460838151
1868	0.0192771084337	0.00674947593221
1869	0.00369003690037	0.00212650945681
1870	0.005444646098	0.00313489867523
1871	0.00702987697715	0.00350256190617
1872	0.00630914826498	0.00314460704871
1874	0.0308285163776	0.0075873994209
1875	0.166666666667	0.0135006993543
1876	0.00731158605174	0.00202044203824
1878	0.010764262648	0.00338558860813
1879	0.00133511348465	0.00133422192295
1880	0.215297450425	0.0109384208076
1881	0.00612870275792	0.00249435353368
1882	0.0126262626263	0.00396748783809
1883	0.0379746835443	0.00537609327666
1884	0.00119189511323	0.00119118459447
1885	0.00933852140078	0.0026831820094
1886	0.303265080243	0.0108134908092
1887	0.0293890177881	0.00469694931695
1889	0.0535168195719	0.00880060895818
1890	0.00110375275938	0.00110314345613
1891	0.00457456541629	0.00204112314299
1892	0.0270897832817	0.00451656110821
1893	0.0318225650916	0.0054507428247
1894	0.21760391198	0.011779433456
1895	0.018315018315	0.00468541217001
1896	0.00429799426934	0.00175087401723
1897	0.0478759271746	0.00554414775752
1898	0.0161483253589	0.00308255208563
1899	0.0488308115543	0.0056518893992
1900	0.06603081438	0.00672653912775
1901	0.00469208211144	0.00165500511236
1902	0.011522134627	0.00262808628129
1903	0.0100830367734	0.0024331353788
1904	0.0349708576187	0.00374832167473
1905	0.0270979020979	0.00339448891329
1906	0.128468368479	0.00557374749595
1907	0.033257532689	0.00302309986688
1908	0.0799107142857	0.00572919341229
1909	0.0398981324278	0.00570246063237
1910	0.0861983059292	0.00626471990498
1911	0.0648672181106	0.00513888359128
1912	0.0817704426107	0.00750513889091
1913	0.372454175153	0.00771388937226
1914	0.0530071355759	0.00505814202964
1915	0.0685997171146	0.0067220949161
1916	0.0526932084309	0.00764528556392
1917	0.0220525869381	0.00427691500863
1918	0.0191304347826	0.00403942110011
1919	0.0187217559716	0.00344384555282
1920	0.113854595336	0.00831857650028
1921	0.0234192037471	0.00422537820256
1922	0.0625766871166	0.00599902064329
1923	0.0471698113208	0.00369833326859
1924	0.0376007162041	0.00402470561683
1925	0.123932881955	0.00565345827261
1926	0.0583916083916	0.00438457357971
1927	0.0413585951941	0.00302668590826
1928	0.0389511201629	0.00308707353565
1929	0.131382831907	0.00561240944427
1930	0.0849568827851	0.00498285821902
1931	0.195611866502	0.00697310443572
1932	0.229458642484	0.00697042340059
1933	0.157120336311	0.00834218071614
1934	0.196147997973	0.0089395662272
1935	0.0730964467005	0.00586451759218
1936	0.20367278798	0.00950032021885
1937	0.175213675214	0.00939285843174
1938	0.0909090909091	0.00841895212019
1939	0.104066462615	0.00638498984415
1940	0.180873180873	0.0124100955363
1941	0.25786163522	0.0155150165564
1942	0.221466364324	0.0114159657264
1943	0.0422222222222	0.00547313344965
1944	0.117117117117	0.0124601887344
1945	0.0450121654501	0.00723149289925
1946	0.0490981963928	0.00683967292751
1947	0.135667396061	0.0113267442519
1948	0.139393939394	0.0134819334248
1949	0.0234574196838	0.00341780211736
1950	0.248471372985	0.0101881507483
1951	0.138812426268	0.0068563009125
1952	0.174280879865	0.00780220408949
1953	0.0958442530887	0.00569597032671
1954	0.143255073617	0.00698850905802
1955	0.130049610206	0.00633174281512
1956	0.147040690506	0.0062178823555
1957	0.195508206162	0.00672962575441
1958	0.234221598878	0.00793031186317
1959	0.145353675451	0.0058702093398
1960	0.254779717373	0.0062814795425
1961	0.157185332012	0.00512438163085
1962	0.261909041884	0.0058948893623
1963	0.240591133005	0.0060001155937
1964	0.31367877705	0.00653762953494
1965	0.259167355942	0.00514471627358
1966	0.434492615531	0.00624659707367
1967	0.254044117647	0.00481910139211
1968	0.333333333333	0.00583182090091
1969	0.375854214123	0.00577910362451
1970	0.389167650531	0.00592301294912
1971	0.406594903938	0.0057337421364
1972	0.449388048956	0.00596894326632
1973	0.413427561837	0.00624102584693
1974	0.40464261857	0.00634284044291
1975	0.353667318177	0.00484919949584
1976	0.404684561463	0.00641787243101
1977	0.475338551373	0.00556634515672
1978	0.468796159527	0.00678083689193
