year	rho	sigma_sampling
1803	0.8	0.1788854382
1811	0.333333333333	0.0860662965824
1812	0.5	0.353553390593
1823	0.6	0.219089023002
1831	0.0232558139535	0.0229838067722
1834	0.0526315789474	0.0362235369269
1835	0.2	0.0565685424949
1840	0.118644067797	0.0420990867032
1846	0.0204081632653	0.020198843237
1847	0.0294117647059	0.0204891337064
1848	0.016393442623	0.0162585148748
1853	0.027027027027	0.0266592952387
1860	0.0384615384615	0.0377146413727
1868	0.0444444444444	0.0307206538568
1871	0.0224719101124	0.0157104857878
1874	0.0487804878049	0.0237879226926
1875	0.222857142857	0.0314589834306
1876	0.00423728813559	0.00422830130016
1878	0.0225988700565	0.0111710281883
1880	0.224719101124	0.0312852432021
1882	0.0227272727273	0.012971630993
1885	0.0108401084011	0.00539059716612
1886	0.0224719101124	0.0111089910363
1887	0.0651162790698	0.016826909411
1897	0.00277008310249	0.00276624376163
1899	0.0117647058824	0.00675228286098
1900	0.0194805194805	0.00787504459713
1902	0.00221238938053	0.00220994069203
1903	0.00210526315789	0.00210304592383
1904	0.00642054574639	0.00319995042566
1905	0.00688073394495	0.00395890282425
1906	0.0172413793103	0.00493406440924
1907	0.002331002331	0.00232828396001
1908	0.00194174757282	0.00193986146497
1909	0.00746268656716	0.00525718941864
1910	0.0175438596491	0.0065725320111
1911	0.00237529691211	0.00237247421722
1912	0.00719424460432	0.00506876719679
1913	0.028818443804	0.00898091814795
1915	0.030303030303	0.0112785964897
1916	0.00662251655629	0.00660055126674
1917	0.0167597765363	0.00959483288164
1919	0.0268456375839	0.0132414210106
1920	0.0448717948718	0.0165750656294
1921	0.0194805194805	0.0111369948736
1922	0.0344827586207	0.0151529439449
1923	0.101973684211	0.0173560860647
1924	0.0131578947368	0.00533623095825
1925	0.0236842105263	0.00780068632238
1926	0.0283911671924	0.00932841201485
1927	0.0210280373832	0.00693525785137
1928	0.013358778626	0.00501530513627
1929	0.0561797752809	0.0099646949934
1930	0.0704500978474	0.0113205285674
1931	0.0216216216216	0.00617377877191
1932	0.0838445807771	0.012533363822
1933	0.0673076923077	0.0141848337734
1934	0.0288461538462	0.00947568637228
1935	0.0368852459016	0.0120661979656
1936	0.111111111111	0.0169937580645
1937	0.0300751879699	0.0104720665027
1938	0.0815217391304	0.0201726171994
1939	0.0575221238938	0.0154881240768
1940	0.129032258065	0.0425749688772
1941	0.0347222222222	0.0152562804704
1942	0.0365853658537	0.00927189259747
1947	0.0540540540541	0.0166249914927
1948	0.127118644068	0.030664877275
1949	0.0127659574468	0.00732323256646
1950	0.00824175824176	0.00473873205524
1951	0.00400801603206	0.00282841006328
1952	0.0166666666667	0.00739118594203
1953	0.0128205128205	0.00735432522064
1954	0.0186666666667	0.00698917681795
1955	0.0375	0.00802827036167
1956	0.040404040404	0.0088502187296
1957	0.360876897133	0.0197217046974
1958	0.108465608466	0.0159944451539
1959	0.0404624277457	0.00749038108481
1960	0.0789865871833	0.0104123412266
1961	0.060162601626	0.00958853168237
1962	0.0299102691924	0.00537855542074
1963	0.0660550458716	0.0106393571568
1964	0.137931034483	0.0165332172926
1965	0.0593900481541	0.00946929398776
1966	0.149090909091	0.015187483478
1967	0.0412844036697	0.00673720343966
1968	0.105454545455	0.0106931801714
1969	0.0294117647059	0.0055764358725
1970	0.0897832817337	0.0112474451213
1971	0.151645207439	0.0135663968067
1972	0.152	0.0185397590779
1973	0.0637931034483	0.0101474936094
1974	0.0597402597403	0.0085410666558
1975	0.121673003802	0.014253855722
1976	0.119047619048	0.0166567655866
1977	0.0787269681742	0.0110222124335
1978	0.0939334637965	0.0129056464664
1979	0.0503685503686	0.00766558083968
1980	0.0993071593533	0.0143725784147
1981	0.0655129789864	0.00869913458966
1982	0.115241635688	0.0137665750784
1983	0.38	0.0206969475132
1984	0.206818181818	0.0193087604639
1985	0.117863720074	0.0138375116433
1986	0.104100946372	0.0171524928371
1987	0.079283887468	0.0136636573102
1988	0.0536585365854	0.0111288789387
1989	0.0978593272171	0.0164310140935
1990	0.0441176470588	0.0111370183301
1991	0.0973236009732	0.0146202304317
1992	0.0599001663894	0.00967974165095
1993	0.059	0.00745110730026
1994	0.177235772358	0.0153984083939
1995	0.0367521367521	0.00550069282321
1996	0.0719178082192	0.0106906723106
1997	0.155405405405	0.0171935566561
1998	0.1425	0.017478111311
1999	0.0552763819095	0.00935265738646
2000	0.12676056338	0.0161195885087
2001	0.247078464107	0.0176229616059
2002	0.150561797753	0.0169528720718
2003	0.15867768595	0.0148546165533
2004	0.0886363636364	0.0135495688188
2005	0.0686037126715	0.00718133865812
2006	0.173469387755	0.0191248422207
2007	0.187327823691	0.0204788481997
2008	0.165450121655	0.0183290005209
