year	rho	sigma_sampling
1803	1.0	0.11629129983
1819	0.111111111111	0.104756560176
1830	0.0357142857143	0.0350707323594
1831	0.181818181818	0.11629129983
1845	0.0263157894737	0.0259672205807
1856	0.0666666666667	0.0455420034043
1861	0.019801980198	0.0138627864908
1863	0.368421052632	0.0782517833342
1869	0.0285714285714	0.028160307446
1875	0.195652173913	0.0584905047582
1880	0.0344827586207	0.0239589080614
1892	0.645833333333	0.0690308866391
1893	0.245614035088	0.0570145842923
1897	0.0298507462687	0.0207902385303
1899	0.1	0.0547722557505
1900	0.125	0.0522912516584
1905	0.0919540229885	0.0309798749366
1906	0.0964285714286	0.0176402646199
1907	0.0845070422535	0.0233415548656
1908	0.142857142857	0.0440866714177
1909	0.222222222222	0.0565750085797
1910	0.0181818181818	0.0180157707021
1911	0.180555555556	0.0453313796934
1912	0.209677419355	0.051699004665
1913	0.204166666667	0.0260194349549
1914	0.0521739130435	0.0207368178854
1915	0.0384615384615	0.0217745583489
1917	0.0342465753425	0.0150509971953
1918	0.0222222222222	0.0155379088618
1920	0.0405405405405	0.0229267355773
1921	0.0078125	0.00778192258326
1923	0.0760869565217	0.0276424633114
1924	0.0280373831776	0.0159588513869
1925	0.0632911392405	0.0193706960812
1926	0.00956937799043	0.00673411829862
1927	0.0344827586207	0.0151529439449
1928	0.0409356725146	0.0151522378311
1929	0.182432432432	0.0317454870201
1930	0.0568181818182	0.017449582574
1931	0.212598425197	0.0363058242221
1932	0.0909090909091	0.0204302988625
1933	0.0916666666667	0.0263413314155
1934	0.246031746032	0.0383695611395
1935	0.111111111111	0.0349188533919
1936	0.214285714286	0.0447702264663
1937	0.0144927536232	0.0143873503798
1938	0.0526315789474	0.0295763940499
1939	0.0103092783505	0.0102560000696
1940	0.222222222222	0.0417834129495
1941	0.146341463415	0.0551993371073
1942	0.260869565217	0.064743076709
1943	0.0178571428571	0.0125136587183
1944	0.0754716981132	0.0362839225525
1946	0.140350877193	0.0460077240777
1947	0.0208333333333	0.0206151772344
1948	0.324324324324	0.0769587564124
1949	0.0375	0.0150195185509
1950	0.486956521739	0.0466093727908
1951	0.056338028169	0.0273640184099
1952	0.0526315789474	0.0295763940499
1954	0.169491525424	0.0488449897216
1955	0.0380952380952	0.0186812844796
1956	0.0491803278689	0.0276872531539
1957	0.148148148148	0.0394718643894
1958	0.155172413793	0.0336172594976
1959	0.196428571429	0.0306520786752
1960	0.141242937853	0.0261777248604
1961	0.128048780488	0.0260922718097
1962	0.313725490196	0.037512682561
1963	0.0668058455115	0.0114084194559
1964	0.234285714286	0.0320174879328
1965	0.237704918033	0.0272512061679
1966	0.163636363636	0.0288002003499
1967	0.282051282051	0.0254761298751
1968	0.262626262626	0.0312737755055
1969	0.205357142857	0.0269908703757
1970	0.332225913621	0.0271486529184
1971	0.38431372549	0.0304615917529
1972	0.328502415459	0.0326442231757
1973	0.386138613861	0.0342555614294
1974	0.227979274611	0.0301983704875
1975	0.229390681004	0.025171141557
1976	0.306784660767	0.0250467311137
1977	0.669565217391	0.0310152583102
1978	0.295857988166	0.0351098056908
1979	0.320224719101	0.034970360514
1980	0.314893617021	0.0302989099573
1981	0.327067669173	0.0287649541987
1982	0.542105263158	0.0361449673875
1983	0.328244274809	0.0290103936931
1984	0.167682926829	0.0206277520617
1985	0.168888888889	0.0249769166408
1986	0.116	0.0202528022752
1987	0.177304964539	0.0321640204793
1988	0.293193717277	0.0329390331181
1989	0.32183908046	0.0354169488899
1990	0.392857142857	0.037679760274
1991	0.245614035088	0.0329173855889
1992	0.22265625	0.0260018361984
1993	0.274881516588	0.0307351989907
1994	0.337164750958	0.0292619744405
1995	0.357798165138	0.0324658351238
1996	0.289473684211	0.0232649878324
1997	0.54693877551	0.031802756353
1998	0.352941176471	0.0265902111008
1999	0.25641025641	0.0233067025573
2000	0.512544802867	0.0299247939014
2001	0.427450980392	0.0309798568177
2002	0.473684210526	0.0295763940499
2003	0.615658362989	0.0290185327376
2004	0.501347708895	0.0259586122838
2005	0.450216450216	0.0327341117186
2006	0.205564142195	0.0158873315545
2007	0.516923076923	0.0277191191706
2008	0.486284289277	0.0249594124035
