year	rho	sigma_sampling
1828	0.333333333333	0.272165526976
1835	0.125	0.116926793337
1840	0.0434782608696	0.0425225779932
1844	0.05	0.048733971724
1852	0.0769230769231	0.0279335784309
1854	0.0148148148148	0.0103977690188
1859	0.0581395348837	0.0252336360438
1861	0.0208333333333	0.0206151772344
1868	0.0571428571429	0.0392346607043
1870	0.0645161290323	0.0441236525434
1871	0.0625	0.0605153647845
1874	0.0208333333333	0.0206151772344
1875	0.0277777777778	0.0193671302438
1880	0.30612244898	0.0658401737063
1881	0.0298507462687	0.0207902385303
1883	0.0133333333333	0.0132441461562
1885	0.018691588785	0.0130928436234
1886	0.0833333333333	0.0564169333655
1887	0.0275229357798	0.0156701737916
1889	0.0227272727273	0.0224675239369
1894	0.0634920634921	0.0307216952878
1897	0.0588235294118	0.032947766683
1898	0.0247933884298	0.014135903623
1899	0.032967032967	0.0187171566429
1900	0.030303030303	0.0172283407156
1901	0.0103092783505	0.0102560000696
1902	0.0472972972973	0.0174488176177
1904	0.00787401574803	0.00784295442085
1905	0.015625	0.0109618868753
1906	0.0471698113208	0.0145603526388
1908	0.0374331550802	0.0138810673935
1909	0.134328358209	0.041660362777
1910	0.0297619047619	0.0131103679861
1911	0.0238095238095	0.0135818010779
1912	0.0520833333333	0.0226776918014
1913	0.0839416058394	0.0167523190081
1914	0.00757575757576	0.00754700696891
1915	0.00900900900901	0.00896833607438
1918	0.0394736842105	0.0223358080649
1919	0.0210526315789	0.0147289254557
1920	0.0727272727273	0.0350163641041
1921	0.04	0.022627416998
1922	0.031746031746	0.0220886457992
1923	0.0176211453744	0.00873260148404
1924	0.211920529801	0.0332569983523
1925	0.071186440678	0.0149710377279
1926	0.0812182741117	0.0194625588833
1927	0.0535714285714	0.0150448037144
1928	0.0148698884758	0.0052180653618
1929	0.0480769230769	0.0121113335013
1930	0.0551181102362	0.0143192101793
1931	0.152046783626	0.0274584810677
1932	0.230215827338	0.0357062858643
1933	0.197916666667	0.0406644884648
1934	0.167597765363	0.0279173515264
1935	0.215909090909	0.0438608796719
1936	0.255102040816	0.044034424102
1937	0.376237623762	0.0482036597588
1938	0.277777777778	0.0430995063079
1939	0.0229885057471	0.0113613668714
1940	0.0208333333333	0.0206151772344
1941	0.0327868852459	0.0228005987129
1942	0.155172413793	0.0336172594976
1943	0.0175438596491	0.0173892851854
1945	0.0666666666667	0.064406118872
1946	0.0188679245283	0.0186890776054
1947	0.15625	0.0453865235884
1948	0.209302325581	0.0620380344867
1950	0.0842105263158	0.0284917557002
1952	0.0133333333333	0.0132441461562
1953	0.0119760479042	0.00841748329578
1954	0.161764705882	0.0315758756822
1955	0.0540540540541	0.0166249914927
1956	0.108571428571	0.0235170058188
1957	0.0339805825243	0.0126233530187
1958	0.0892857142857	0.0190527668958
1959	0.141025641026	0.0278661417567
1960	0.193693693694	0.0265235274376
1961	0.211764705882	0.0255849538524
1962	0.266211604096	0.0258205269256
1963	0.197044334975	0.027917706745
1964	0.101351351351	0.0175413849389
1965	0.231638418079	0.031710382672
1966	0.208333333333	0.0276327231165
1967	0.195845697329	0.0216178133059
1968	0.328859060403	0.0272147055339
1969	0.297619047619	0.0249429080312
1970	0.292857142857	0.0271958398036
1971	0.247311827957	0.0316354136418
1972	0.30888030888	0.0287092510393
1973	0.260089686099	0.029376406848
1974	0.575107296137	0.0228992425455
1975	0.4375	0.028452045875
1976	0.345890410959	0.0278357606404
1977	0.496402877698	0.0244844716958
1978	0.586666666667	0.0328287738891
1979	0.524305555556	0.0294279510916
1980	0.411764705882	0.0359897885749
1981	0.51652892562	0.0321236502188
1982	0.430107526882	0.0363018292588
1983	0.362244897959	0.034332076679
1984	0.533596837945	0.031363686643
1985	0.684466019417	0.022895514446
1986	0.294832826748	0.0251383062434
1987	0.379888268156	0.0362774205191
1988	0.117063492063	0.0143205667736
1989	0.5	0.0385758374905
1990	0.0938511326861	0.0165897673437
1991	0.3125	0.0299195971174
1992	0.192660550459	0.0168937566642
1993	0.272727272727	0.023375430783
1994	0.285714285714	0.0184121165081
1995	0.391509433962	0.0237036437909
1996	0.522727272727	0.0250999754052
1997	0.425	0.0260541636681
1998	0.422740524781	0.0266732181056
1999	0.305676855895	0.0175765539404
2000	0.611057225994	0.015182890613
2001	0.6	0.0287677980891
2002	0.596439169139	0.0267253026206
2003	0.382191780822	0.0179848194546
2004	0.713859910581	0.0174475555937
2005	0.457564575646	0.0302632505674
2006	0.671739130435	0.0218942950221
2007	0.439393939394	0.0273211487301
2008	0.40157480315	0.0307589357495
