year	rho	sigma_sampling
1805	0.666666666667	0.272165526976
1894	0.489583333333	0.0510199606624
1897	0.027397260274	0.0191055648508
1898	0.0505050505051	0.022008788506
1899	0.0322580645161	0.0317335081831
1900	0.0535714285714	0.0300896074288
1902	0.0310559006211	0.0136712582531
1903	0.0327868852459	0.016122457965
1906	0.0144927536232	0.0101733930169
1910	0.016339869281	0.00724746472528
1911	0.116071428571	0.0302665025884
1913	0.00561797752809	0.00560217446576
1914	0.03125	0.0217490795423
1915	0.0508474576271	0.0286006974195
1916	0.16	0.0733212111193
1924	0.0112359550562	0.0111726533972
1925	0.0210526315789	0.0147289254557
1926	0.0232558139535	0.0229838067722
1927	0.0491803278689	0.0276872531539
1928	0.105263157895	0.0497844896277
1929	0.0714285714286	0.034415146845
1931	0.196078431373	0.0555951190062
1932	0.47972972973	0.0410659584926
1933	0.544117647059	0.0603974134158
1934	0.0625	0.0605153647845
1936	0.0384615384615	0.0377146413727
1939	0.013698630137	0.0136044803606
1940	0.111111111111	0.0740740740741
1947	0.142857142857	0.0763603548321
1948	0.1	0.0948683298051
1950	0.307692307692	0.0905151392945
1952	0.0606060606061	0.0415360252632
1953	0.173076923077	0.0524626793678
1954	0.0612244897959	0.0342488050276
1955	0.166666666667	0.0878410461158
1956	0.1	0.067082039325
1957	0.808823529412	0.047685863561
1958	0.473684210526	0.114548881596
1959	0.263157894737	0.0714337781619
1960	0.133333333333	0.0620632890834
1961	0.153846153846	0.0707589393083
1962	0.0958904109589	0.0344617000123
1963	0.302325581395	0.0700373362604
1964	0.478260869565	0.104158618631
1965	0.142857142857	0.0591484765151
1966	0.184615384615	0.0481236459356
1967	0.223684210526	0.0478002401017
1968	0.338235294118	0.0573729004397
1969	0.352941176471	0.115904043076
1970	0.641509433962	0.0658722434316
1971	0.950581395349	0.0116858598421
1972	0.41134751773	0.0414404415304
1973	0.703703703704	0.0878771872595
1974	0.415094339623	0.0676828102861
1975	0.680701754386	0.027615586494
1976	0.490196078431	0.0700005438525
1977	0.732394366197	0.0525401065532
1978	0.21875	0.0730792458354
1979	0.871428571429	0.0400072879658
1980	0.538461538462	0.097767524508
1981	0.363636363636	0.102559286331
1982	0.047619047619	0.0464714320452
1983	0.239130434783	0.0628917409977
1984	0.1	0.0474341649025
1985	0.62962962963	0.0929348953962
1986	0.275	0.0706001062322
1987	0.5	0.0857492925713
1988	0.461538461538	0.0691320795595
1989	0.423076923077	0.0968906680107
1990	0.184210526316	0.0628860724917
1991	0.346666666667	0.0549531787238
1992	0.623762376238	0.0482036597588
1993	0.2	0.08
1994	0.425531914894	0.0721190658978
1995	0.448979591837	0.0710557294866
1996	0.5	0.0615457454897
1997	0.4375	0.0620097963531
1998	0.693548387097	0.0585495408996
1999	0.103448275862	0.0565523041645
2000	0.725	0.0706001062322
2001	0.591549295775	0.0583359293586
2002	0.369863013699	0.0565036506029
2003	0.104166666667	0.0440917538167
2004	0.479452054795	0.0584711358305
2005	0.203703703704	0.0548074921888
2006	0.5625	0.0506307867063
2007	0.926808510638	0.00759812380238
2008	0.769784172662	0.0357062858643
