year	rho	sigma_sampling
1838	0.25	0.216506350946
1860	0.0666666666667	0.064406118872
1865	0.0519480519481	0.0252903790153
1872	0.0428571428571	0.0242075573097
1883	0.005	0.00498748433582
1887	0.025641025641	0.0178969856526
1889	0.0666666666667	0.064406118872
1894	0.0140845070423	0.0139849686427
1897	0.0882352941176	0.04864330768
1899	0.063829787234	0.0356566204935
1900	0.0483870967742	0.0272520450964
1905	0.0212765957447	0.0148839132845
1906	0.0275862068966	0.013601523263
1907	0.0103092783505	0.0102560000696
1909	0.117647058824	0.0552550845075
1911	0.0208333333333	0.0145771316178
1913	0.149606299213	0.0316506837692
1914	0.127272727273	0.0449392276839
1918	0.0869565217391	0.0415449167785
1920	0.0333333333333	0.0327730693417
1921	0.0731707317073	0.0406702311366
1923	0.0192307692308	0.0190449603396
1924	0.0952380952381	0.0452947491053
1925	0.166666666667	0.062112999375
1926	0.102564102564	0.0485810735093
1927	0.046511627907	0.0321147276134
1928	0.03	0.0170587221092
1930	0.0833333333333	0.0325723316654
1931	0.103448275862	0.0565523041645
1932	0.377777777778	0.0722744350676
1933	0.384615384615	0.13493200297
1936	0.380952380952	0.105971169574
1937	0.133333333333	0.0877707451473
1938	0.294117647059	0.110510169015
1941	0.125	0.116926793337
1942	0.157894736842	0.0836546751831
1943	0.05	0.048733971724
1949	0.128205128205	0.0535337356629
1950	0.0952380952381	0.0452947491053
1954	0.0769230769231	0.0369526508781
1955	0.0571428571429	0.0392346607043
1956	0.153846153846	0.0500341258145
1957	0.156862745098	0.0509241697495
1958	0.114285714286	0.0537785113208
1959	0.0243902439024	0.0240909657719
1960	0.075	0.0416458281224
1961	0.0909090909091	0.0387637666101
1962	0.220588235294	0.0502828858945
1963	0.183098591549	0.0458984637691
1964	0.525423728814	0.0650102513446
1965	0.282608695652	0.0663883536136
1966	0.354838709677	0.0607650419174
1967	0.144230769231	0.0344501108681
1968	0.18	0.0384187454246
1969	0.171717171717	0.0379034372065
1970	0.0547945205479	0.0133180381677
1971	0.0526315789474	0.0295763940499
1972	0.345454545455	0.0641185978522
1973	0.157894736842	0.0482980492359
1974	0.754601226994	0.0337055287753
1975	0.53982300885	0.0468866197837
1976	0.132075471698	0.0465065508621
1977	0.385826771654	0.043195624772
1978	0.551282051282	0.0563152927284
1979	0.5	0.068041381744
1980	0.433333333333	0.0904720132703
1981	0.571428571429	0.056395859568
1982	0.294117647059	0.110510169015
1983	0.47619047619	0.0770641517822
1984	0.5	0.0573539334676
1985	0.554054054054	0.0577831640168
1986	0.266666666667	0.0807373427759
1987	0.411764705882	0.0844035357623
1988	0.535714285714	0.0942497612342
1989	0.461538461538	0.0691320795595
1990	0.28	0.0634980314656
1991	0.431034482759	0.0650256921945
1992	0.58064516129	0.0886268651399
1993	0.533898305085	0.0459228262832
1994	0.578313253012	0.054204769541
1995	0.448275862069	0.0653009760654
1996	0.618421052632	0.0557221082333
1997	0.46218487395	0.0457036504658
1998	0.662337662338	0.053893411325
1999	0.5	0.0606339062591
2000	0.37908496732	0.0392228053971
2001	0.211764705882	0.0443144399816
2002	0.549295774648	0.059049982004
2003	0.49696969697	0.0389242323264
2004	0.736842105263	0.0381829605321
2005	0.6125	0.0544683107412
2006	0.905660377358	0.0179558849597
2007	0.588235294118	0.0844035357623
2008	0.569230769231	0.0614200043323
