year	rho	sigma_sampling
1800	0.285714285714	0.0763603548321
1801	0.301886792453	0.063058995587
1802	0.5	0.0635000635001
1803	0.20652173913	0.0422042794035
1804	0.219512195122	0.0646428445316
1805	0.246753246753	0.0491308988356
1806	0.216494845361	0.0418175747709
1807	0.182481751825	0.032998801358
1808	0.175	0.0346860923138
1809	0.321917808219	0.038666711903
1810	0.0779220779221	0.0215999981503
1811	0.129032258065	0.0269267745925
1812	0.125628140704	0.0234944354544
1813	0.104761904762	0.0298865869059
1814	0.297872340426	0.0385135519333
1815	0.0931677018634	0.0229077926464
1816	0.24	0.0381994764362
1817	0.28813559322	0.041692322703
1818	0.168918918919	0.0307985299042
1819	0.204379562044	0.0344517600604
1820	0.260869565217	0.0323715383545
1821	0.125984251969	0.0294452942946
1822	0.552173913043	0.0231853534538
1823	0.255102040816	0.0311370398882
1824	0.218045112782	0.0253176393659
1825	0.15	0.0188193163177
1826	0.210227272727	0.0307142037146
1827	0.0872093023256	0.0215130895678
1828	0.180392156863	0.0240791852677
1829	0.137829912023	0.0186677091454
1830	0.142857142857	0.0206555439734
1831	0.170212765957	0.0193814165945
1832	0.175627240143	0.022780101411
1833	0.230483271375	0.0256774916979
1834	0.188940092166	0.0265741059075
1835	0.258397932817	0.022252279222
1836	0.204408817635	0.0180527979228
1837	0.262222222222	0.0293228563407
1838	0.317518248175	0.0281225427313
1839	0.319306930693	0.0231947210783
1840	0.255663430421	0.0248164550774
1841	0.25078369906	0.0242693373985
1842	0.253926701571	0.0222696428854
1843	0.344736842105	0.0243814722474
1844	0.3133640553	0.0222660403604
1845	0.271565495208	0.0251397167425
1846	0.383152173913	0.0253425759613
1847	0.263736263736	0.026669833621
1848	0.232432432432	0.0219586587481
1849	0.224637681159	0.0205113137958
1850	0.27989821883	0.0226464813912
1851	0.284	0.0201665068864
1852	0.284916201117	0.0238558847815
1853	0.242424242424	0.0199379301503
1854	0.307692307692	0.0195209969741
1855	0.202928870293	0.0183952845453
1856	0.31	0.0231246621597
1857	0.337696335079	0.0241969190389
1858	0.383333333333	0.0256249059017
1859	0.340314136126	0.0242424719723
1860	0.322335025381	0.0235457841503
1861	0.225589225589	0.0242530658194
1862	0.344202898551	0.0285981188687
1863	0.191489361702	0.0216928816121
1864	0.285714285714	0.0236783408618
1865	0.278396436526	0.0211523196144
1866	0.231671554252	0.0228471810284
1867	0.176470588235	0.0192791261517
1868	0.218934911243	0.0224927612209
1869	0.233415233415	0.0209675402712
1870	0.256097560976	0.0215560302376
1871	0.184729064039	0.0192599687539
1872	0.241887905605	0.0232580843132
1873	0.221218961625	0.0197204579548
1874	0.302083333333	0.023431471061
1875	0.281173594132	0.0222299058515
1876	0.294710327456	0.0228815893097
1877	0.197590361446	0.0195459551487
1878	0.23732718894	0.0204219879204
1879	0.256130790191	0.0227848489567
1880	0.317757009346	0.0225058399668
1881	0.272727272727	0.0197987456902
1882	0.241935483871	0.019229236053
1883	0.200902934537	0.0190366727839
1884	0.212410501193	0.0199816311933
1885	0.225045372051	0.0177908780114
1886	0.275064267352	0.0226408142151
1887	0.238839285714	0.0201442942844
1888	0.230769230769	0.0172292623105
1889	0.191446028513	0.0177556649794
1890	0.365344467641	0.0220015129298
1891	0.255230125523	0.0199417409079
1892	0.257092198582	0.0184023106016
1893	0.239130434783	0.0189625733911
1894	0.189265536723	0.0208196515525
1895	0.232796486091	0.0161708612259
1896	0.192647058824	0.0151237138272
1897	0.244408945687	0.01717571345
1898	0.264534883721	0.0168162166946
1899	0.307692307692	0.0177514792899
1900	0.249692496925	0.0151801868791
1901	0.180345572354	0.0126346333513
1902	0.2886002886	0.0172122880541
1903	0.23951285521	0.0156995835856
1904	0.204744069913	0.0142574831195
1905	0.141843971631	0.0111052922998
1906	0.129952456418	0.00946529298997
1907	0.304285714286	0.0173903059353
1908	0.289552238806	0.0175223413811
1909	0.281437125749	0.0173994231269
1910	0.295302013423	0.0167130835013
1911	0.311942959002	0.0195599790275
1912	0.324888226528	0.0180797977347
1913	0.335925349922	0.0186262039369
1914	0.294545454545	0.0194370045275
1915	0.357647058824	0.0232498268248
1916	0.345707656613	0.0229087705862
1917	0.299776286353	0.0216702181478
1918	0.390710382514	0.0255034434357
1919	0.366995073892	0.0239205216032
1920	0.314393939394	0.0202049344345
1921	0.290322580645	0.0203812146574
1922	0.363796133568	0.0201683819947
1923	0.314779270633	0.0203469560562
1924	0.379381443299	0.0220333001856
1925	0.375	0.023736078916
1926	0.310869565217	0.0215804701685
1927	0.284518828452	0.020636719554
1928	0.283433133733	0.0201342199066
1929	0.367052023121	0.0259125271245
1930	0.349146110057	0.0207653879244
1931	0.398617511521	0.0235022104574
1932	0.427631578947	0.0283750035726
1933	0.438725490196	0.0245671066976
1934	0.430894308943	0.0257791539627
1935	0.536723163842	0.026502926458
1936	0.481152993348	0.0235273483523
1937	0.550351288056	0.0240736938353
1938	0.468664850136	0.0260484827981
1939	0.45885286783	0.0248841161325
1940	0.392572944297	0.0251499180092
1941	0.471223021583	0.0299382989906
1942	0.5	0.0304290309725
1943	0.609302325581	0.0332749645133
1944	0.615740740741	0.033096665445
1945	0.546728971963	0.034029701374
1946	0.578082191781	0.0258501038034
1947	0.417794970986	0.0216907370083
1948	0.530413625304	0.0246175125782
1949	0.497925311203	0.0227741798758
1950	0.48243559719	0.0241817615556
1951	0.643243243243	0.0249042150598
1952	0.577625570776	0.0236012474886
1953	0.53313253012	0.0273807510572
1954	0.59756097561	0.0221084658048
1955	0.556354916067	0.0243290849139
1956	0.644486692015	0.0208709412771
1957	0.594890510949	0.0209707734983
1958	0.5953307393	0.0216494916029
1959	0.647163120567	0.0201212202276
1960	0.645762711864	0.0196905394056
1961	0.633802816901	0.0190582997413
1962	0.665718349929	0.0177919631391
1963	0.594778660613	0.0165400146136
1964	0.616745283019	0.0166954737289
1965	0.709816612729	0.014906287236
1966	0.619745845552	0.0151777005122
1967	0.673258003766	0.0143923258523
1968	0.637773722628	0.0145183750094
1969	0.666377063423	0.0138979360413
1970	0.608773500448	0.0146021032566
1971	0.714148219442	0.0140170575348
1972	0.717497556207	0.0140761375085
1973	0.620394173093	0.0142057727228
1974	0.750535331906	0.0141584807655
1975	0.667701863354	0.0151553748956
1976	0.711086226204	0.0151676929127
1977	0.672086720867	0.0141097184886
1978	0.680284191829	0.0138981837555
1979	0.766319772942	0.0130160289269
1980	0.795753286148	0.0128194269968
1981	0.803680981595	0.01270145884
1982	0.723327305606	0.0134515712484
1983	0.708333333333	0.0131211414081
1984	0.810344827586	0.011510343474
1985	0.789043336059	0.0116663183724
1986	0.793674698795	0.0111044863426
1987	0.8152	0.0109781222438
1988	0.835585585586	0.0101557804199
1989	0.791126279863	0.0106205252106
1990	0.736971183323	0.0109018433767
1991	0.795180722892	0.0104410226369
1992	0.796226415094	0.0101016815027
1993	0.780618311534	0.0100903576261
1994	0.809470124014	0.00932406187473
1995	0.833704115684	0.0087811597788
1996	0.780942516831	0.00941233646884
1997	0.794031311155	0.0089449716948
1998	0.826556870818	0.00858971036167
1999	0.738996478873	0.0092138301944
2000	0.760109933255	0.00846115915354
2001	0.693807731782	0.00852515472707
2002	0.820843499477	0.00715947526276
2003	0.665484034465	0.0075110163111
2004	0.643339333933	0.00718556025518
2005	0.752544188538	0.00706199938072
2006	0.656574785359	0.00713760457991
2007	0.564331665475	0.0066283640739
2008	0.420716380394	0.00505224182221
