year	rho	sigma_sampling
1800	0.35213086526	0.00990994141599
1801	0.344612352168	0.00861374918756
1802	0.396137931034	0.00812340459677
1803	0.401425178147	0.00844647469817
1804	0.461843640607	0.00761598901896
1805	0.336926653984	0.00687182349236
1806	0.280658436214	0.00744231180796
1807	0.357578840285	0.00764344367727
1808	0.314887705487	0.00706752137583
1809	0.329601119664	0.0071793353113
1810	0.313993174061	0.00606283171858
1811	0.379656436981	0.00674224807168
1812	0.312025107367	0.00595469959482
1813	0.341865425635	0.00660520617187
1814	0.31153156092	0.00591462732722
1815	0.340752731688	0.00674205780838
1816	0.305166946465	0.0062890649133
1817	0.28861369109	0.00594256173493
1818	0.341103710752	0.0059700060279
1819	0.38490284006	0.00665103703791
1820	0.311439216227	0.00543974648685
1821	0.312628624883	0.00634068585093
1822	0.344597927972	0.00527780531195
1823	0.348722604072	0.00542709845831
1824	0.349859883596	0.00495134709468
1825	0.333108173309	0.00462996377157
1826	0.384586792219	0.00541523010312
1827	0.39296875	0.00515977219012
1828	0.399801368351	0.0051458557722
1829	0.394124460356	0.00501435624677
1830	0.401249358206	0.00453416406187
1831	0.433333333333	0.0051384650605
1832	0.445078158006	0.00510745943449
1833	0.434943832479	0.00517727712154
1834	0.448293963255	0.00509568790752
1835	0.390533696922	0.00481461068933
1836	0.458502886344	0.00484722585813
1837	0.406278026906	0.00490280409236
1838	0.449324966724	0.00485021941273
1839	0.415505160853	0.00427753926165
1840	0.427712092927	0.00411390118787
1841	0.49961107654	0.00440978017903
1842	0.550159801136	0.00468734842889
1843	0.440138082536	0.00439691408944
1844	0.474625775831	0.00426706268198
1845	0.502415770148	0.00401307343094
1846	0.515049036185	0.00411019605786
1847	0.488289473684	0.00405442305239
1848	0.508539908287	0.00407550742208
1849	0.522101336649	0.00393853562235
1850	0.522863051471	0.00378565525533
1851	0.504058214386	0.00374071127528
1852	0.528627838105	0.00369671529986
1853	0.516576792491	0.00353111939358
1854	0.533434795016	0.00344047585134
1855	0.563644103874	0.00341083055911
1856	0.590767634855	0.00323257936472
1857	0.492703904136	0.00347520600447
1858	0.550165745856	0.00369771766208
1859	0.562465156353	0.00353166568676
1860	0.59211718514	0.00348671396558
1861	0.584477979674	0.00386771934185
1862	0.486405067202	0.00439280180451
1863	0.541852801172	0.00426380492575
1864	0.623731186559	0.00370013096629
1865	0.559362079149	0.00348311924672
1866	0.631214723926	0.00338007656809
1867	0.619294932326	0.00351689060416
1868	0.591090355756	0.00356124581783
1869	0.552343622407	0.00366888672115
1870	0.545695223975	0.00362308676834
1871	0.576093203072	0.00357189969022
1872	0.559870375371	0.00364814579809
1873	0.556679528627	0.00358723527396
1874	0.554319098623	0.00338451983631
1875	0.600485370209	0.0033143714938
1876	0.60635885147	0.00319591368707
1877	0.593153713865	0.0031434618319
1878	0.577954097185	0.00330671069305
1879	0.579210014379	0.00321049417411
1880	0.592792221518	0.00291613201988
1881	0.612278457884	0.00294534877462
1882	0.623050939984	0.00283075712864
1883	0.624024960998	0.00276140975037
1884	0.638440814378	0.00280572964588
1885	0.65064538668	0.00289119149307
1886	0.693224214707	0.00292087111307
1887	0.700063348115	0.00264590036511
1888	0.698088054727	0.00271915978654
1889	0.655809825184	0.00295140865397
1890	0.690211132438	0.00273164134266
1891	0.644092863285	0.00280790706873
1892	0.672154947702	0.00269648210421
1893	0.665587354641	0.00278379043239
1894	0.662810082689	0.00272978931405
1895	0.671319640881	0.00260465122223
1896	0.680213721366	0.00248638088056
1897	0.690707054518	0.00238880903716
1898	0.708908406524	0.00227559898871
1899	0.715734446165	0.00213654423498
1900	0.725741350906	0.00202456517232
1901	0.734143709405	0.00199349788739
1902	0.70256304258	0.00207829495427
1903	0.72602316235	0.00217492356277
1904	0.713340616655	0.00203397232091
1905	0.720330934341	0.00206198801839
1906	0.702388187766	0.00193305712087
1907	0.683108191845	0.00211453447436
1908	0.715292655755	0.00208878818615
1909	0.721226667909	0.00216454721313
1910	0.741322662174	0.00200968261021
1911	0.708956431296	0.00218383802038
1912	0.751419225493	0.00198542953089
1913	0.728118747383	0.00214608751388
1914	0.748184679438	0.00216081869699
1915	0.78655995935	0.00206526754267
1916	0.794430902925	0.00208009426783
1917	0.780038176921	0.00211814461431
1918	0.8073793231	0.00218945716945
1919	0.783982456682	0.00228706959862
1920	0.738624414492	0.00214796767828
1921	0.779828180636	0.00220274686397
1922	0.761037622402	0.00211261329806
1923	0.725954510905	0.00241165337579
1924	0.715486993345	0.00248142132165
1925	0.751721794991	0.00240085622747
1926	0.734860129112	0.00244735984998
1927	0.731168649405	0.00234564680573
1928	0.727937591419	0.00238327442227
1929	0.764132611	0.00230360971242
1930	0.747426382571	0.00224091153209
1931	0.74414514758	0.00236232822184
1932	0.735964183847	0.00264876479493
1933	0.755450771773	0.002728642223
1934	0.755118981738	0.00252898461509
1935	0.77295903243	0.00228084846416
1936	0.77028831563	0.00231734389864
1937	0.782040458994	0.00230856950346
1938	0.778219869044	0.00232534735938
1939	0.812146337035	0.00214862665257
1940	0.833896885969	0.00211199692537
1941	0.836709523098	0.0022597333288
1942	0.832538736591	0.00221074660923
1943	0.859060945525	0.00221279891701
1944	0.831313314038	0.00251830749625
1945	0.812997456306	0.0024974968378
1946	0.798658918194	0.00218911335308
1947	0.79002038366	0.00215222348456
1948	0.764912381665	0.00227470233473
1949	0.782325605818	0.00211445116599
1950	0.769719189182	0.00217002359219
1951	0.778096672445	0.00221504667674
1952	0.775218560861	0.00220968923424
1953	0.768412808386	0.0023152886701
1954	0.775883264739	0.00215573340052
1955	0.773672632737	0.00209216264612
1956	0.763715233478	0.00214583318122
1957	0.761298921604	0.00209852367468
1958	0.772491933668	0.00209661433105
1959	0.800630726026	0.00191685973405
1960	0.765508630509	0.00198293543156
1961	0.768961424332	0.00187470935286
1962	0.748098564576	0.0018539477506
1963	0.755956507462	0.00183457838788
1964	0.743118591746	0.00187287223406
1965	0.742278899439	0.00176062432621
1966	0.728149723256	0.00175925096039
1967	0.741379059163	0.0016713222701
1968	0.737679022746	0.00159600732837
1969	0.745365853659	0.00157126885853
1970	0.749339189669	0.00157163908895
1971	0.74851573123	0.00159192591877
1972	0.752782818298	0.00158748886095
1973	0.77541216442	0.00155721584347
1974	0.786971702386	0.00156497825698
1975	0.759625842941	0.00162727469648
1976	0.789988064312	0.00152632323149
1977	0.783893362955	0.00153368435618
1978	0.792263843648	0.0014945696388
1979	0.789750489237	0.00150217577029
1980	0.80434528373	0.00143002080418
1981	0.802966182957	0.00142224360025
1982	0.815084064374	0.00139136007813
1983	0.817035152471	0.0013362477797
1984	0.810016393821	0.00133291020173
1985	0.815935260219	0.00129385456191
1986	0.808118323747	0.0013034017754
1987	0.823368891094	0.00122607999075
1988	0.823064385473	0.00119218935368
1989	0.828847973999	0.00112546264294
1990	0.836076161718	0.00107218423937
1991	0.834508637417	0.00108649281169
1992	0.83341800689	0.00104979622572
1993	0.845923558975	0.00100541783017
1994	0.84934896028	0.000977966124875
1995	0.848367805529	0.00096100638156
1996	0.837441652066	0.000954139646242
1997	0.847902767686	0.000922964692433
1998	0.840373510412	0.000914132612785
1999	0.838635864603	0.000884279107237
2000	0.838326636823	0.000821974301548
2001	0.840631650222	0.000804953225134
2002	0.847764200937	0.000751820985436
2003	0.832886978266	0.000732882424416
2004	0.824733253526	0.000708212021529
2005	0.839111636374	0.000703921128541
2006	0.81499182829	0.000709886816627
2007	0.810838237078	0.000673629254554
2008	0.770544721751	0.000605441535732
