year	rho	sigma_sampling
1800	0.046511627907	0.0321147276134
1801	0.0340909090909	0.0136782672282
1802	0.173076923077	0.0524626793678
1803	0.1	0.0335410196625
1804	0.0869565217391	0.0339212825046
1805	0.0416666666667	0.0203946877161
1806	0.0689655172414	0.0271668481779
1807	0.101123595506	0.0319581211106
1808	0.0168776371308	0.00836730186429
1809	0.0618556701031	0.0244590012902
1810	0.0291262135922	0.0165693239997
1811	0.106918238994	0.0245060291855
1812	0.0948905109489	0.0250381172015
1813	0.0746268656716	0.0227014524803
1814	0.0210526315789	0.0104149230693
1815	0.063829787234	0.0252130381451
1816	0.137614678899	0.0329966469037
1817	0.0446428571429	0.0195141597969
1818	0.0852713178295	0.0245896745497
1819	0.189655172414	0.0363989020285
1820	0.131687242798	0.0216923601581
1821	0.140127388535	0.0277031240067
1822	0.109589041096	0.0258524902973
1823	0.231884057971	0.0227216197645
1824	0.129577464789	0.0178244289882
1825	0.168724279835	0.0240247126908
1826	0.192307692308	0.0345660397797
1827	0.198473282443	0.0348477209216
1828	0.166666666667	0.0324374560067
1829	0.260869565217	0.0373794327661
1830	0.16814159292	0.0248775761463
1831	0.189189189189	0.0287953299407
1832	0.248175182482	0.0369043210812
1833	0.12925170068	0.0276697849097
1834	0.26618705036	0.03748683266
1835	0.259493670886	0.0348737964863
1836	0.279761904762	0.0346320094681
1837	0.186991869919	0.0351565500614
1838	0.285714285714	0.0391720355076
1839	0.22480620155	0.0259895904396
1840	0.231092436975	0.0273238224121
1841	0.245614035088	0.0285072921462
1842	0.260869565217	0.0409471170255
1843	0.383802816901	0.0288572381283
1844	0.27149321267	0.0299157677325
1845	0.298913043478	0.0337481107295
1846	0.330434782609	0.0310152583102
1847	0.235897435897	0.0304032585665
1848	0.241935483871	0.0271942464203
1849	0.297872340426	0.0298324690482
1850	0.194029850746	0.0241560742775
1851	0.285714285714	0.0292828593461
1852	0.308370044053	0.0306520877676
1853	0.246458923513	0.0229370935852
1854	0.362162162162	0.0249865223379
1855	0.287356321839	0.0280108535436
1856	0.321033210332	0.0283605469032
1857	0.222580645161	0.0236260177498
1858	0.271255060729	0.0282896923159
1859	0.238670694864	0.0234299750092
1860	0.223270440252	0.0233526930532
1861	0.376033057851	0.0311376706596
1862	0.259036144578	0.0340035806389
1863	0.342105263158	0.0314188771672
1864	0.265560165975	0.0284479552622
1865	0.179104477612	0.0234223123397
1866	0.241635687732	0.0261001703584
1867	0.347826086957	0.0351118631777
1868	0.330316742081	0.0316376252307
1869	0.238683127572	0.027345788504
1870	0.32	0.0295025422633
1871	0.208469055375	0.0231838501246
1872	0.225806451613	0.0265501577985
1873	0.413145539906	0.0337385906823
1874	0.322957198444	0.0291684925703
1875	0.281632653061	0.0287363598018
1876	0.308474576271	0.0268907401406
1877	0.437229437229	0.0326373127534
1878	0.347079037801	0.0279060266016
1879	0.384905660377	0.0298899423348
1880	0.309278350515	0.0234644528483
1881	0.398648648649	0.0284585938891
1882	0.243070362473	0.0198064817501
1883	0.288643533123	0.0179961634498
1884	0.305322128852	0.0243745589049
1885	0.263157894737	0.0245015837723
1886	0.382716049383	0.0311801136191
1887	0.428571428571	0.0311739843194
1888	0.36038961039	0.0273570036091
1889	0.347826086957	0.0314050051528
1890	0.348754448399	0.0284301468435
1891	0.399361022364	0.0276832723151
1892	0.373831775701	0.0270041867746
1893	0.304635761589	0.0264845834421
1894	0.372483221477	0.028006439288
1895	0.348780487805	0.0235368242429
1896	0.436305732484	0.0279867484728
1897	0.346666666667	0.0245758086412
1898	0.423868312757	0.022416005369
1899	0.494453248811	0.0199034608858
1900	0.374321880651	0.020579533466
1901	0.369255150555	0.0192121273912
1902	0.316582914573	0.0164865627016
1903	0.399737876802	0.0177335568587
1904	0.462711864407	0.0205273523578
1905	0.389565217391	0.020336480769
1906	0.507352941176	0.0191720512824
1907	0.540170940171	0.020605629285
1908	0.570909090909	0.0211045837687
1909	0.551470588235	0.0213234361948
1910	0.469387755102	0.0190542761078
1911	0.652173913043	0.0194765573945
1912	0.631762652705	0.0201494678086
1913	0.625862068966	0.0200928336683
1914	0.67803030303	0.020333638125
1915	0.647577092511	0.0224207366338
1916	0.732421875	0.019564600128
1917	0.778012684989	0.019108511048
1918	0.724220623501	0.0218850886018
1919	0.711359404097	0.0195540221136
1920	0.724665391969	0.019532072054
1921	0.777083333333	0.0189969748901
1922	0.715254237288	0.018579449798
1923	0.643518518519	0.0230439613506
1924	0.571134020619	0.0224728909362
1925	0.596825396825	0.0195433926044
1926	0.605633802817	0.0219218246912
1927	0.697368421053	0.0199173907826
1928	0.634108527132	0.0189661020727
1929	0.68330464716	0.0192992293074
1930	0.657099697885	0.0184489040818
1931	0.727868852459	0.0180198336121
1932	0.593368237347	0.0205203841215
1933	0.803970223325	0.0197755459268
1934	0.650283553875	0.020733927587
1935	0.787634408602	0.0149940152482
1936	0.857589984351	0.0138248264523
1937	0.819561551433	0.0157916672183
1938	0.7312	0.0177334287717
1939	0.833605220228	0.0150424932115
1940	0.840425531915	0.0154202625989
1941	0.905626134301	0.0124544497964
1942	0.869724770642	0.0144186165322
1943	0.917372881356	0.0126725278327
1944	0.888888888889	0.0145271211213
1945	0.863636363636	0.0155988314778
1946	0.824615384615	0.0149164262616
1947	0.828331332533	0.0130654707494
1948	0.846965699208	0.0130765355916
1949	0.853297442799	0.0129799989481
1950	0.878422782037	0.0108153980347
1951	0.871076233184	0.0112204983965
1952	0.892425905598	0.0102655150771
1953	0.906683480454	0.0103292912712
1954	0.897894736842	0.0098236973634
1955	0.864271457086	0.0108199889663
1956	0.867575462512	0.0105767597816
1957	0.84965034965	0.0105671608759
1958	0.88160291439	0.00975002758995
1959	0.906480721903	0.00833926944435
1960	0.917956656347	0.00763486753873
1961	0.879344262295	0.00834100794569
1962	0.871403405755	0.00811179629329
1963	0.862006079027	0.00850358761218
1964	0.874928936896	0.00788736413192
1965	0.889190657251	0.00731574805748
1966	0.907407407407	0.00631626145591
1967	0.904143784324	0.00657791739842
1968	0.904615384615	0.00576082227479
1969	0.911185588605	0.00582262649982
1970	0.882049245433	0.00642789709207
1971	0.931210191083	0.00521543402433
1972	0.914431673052	0.00577152580885
1973	0.92337164751	0.00548834626217
1974	0.94976977815	0.0044687251731
1975	0.93572009764	0.00494674636896
1976	0.932628280454	0.00496098254451
1977	0.933962264151	0.00492382034578
1978	0.940869565217	0.00439897325827
1979	0.948657718121	0.00404281830607
1980	0.960569226208	0.00335099526215
1981	0.953341360626	0.00365923615734
1982	0.95792462571	0.0032255208593
1983	0.968844221106	0.00275394173128
1984	0.961454703833	0.0028408556579
1985	0.965495476541	0.0026474589288
1986	0.963617677287	0.00268445524462
1987	0.968552253116	0.0024167355977
1988	0.975196060551	0.0021003766299
1989	0.959338387319	0.0025924745946
1990	0.95983935743	0.0024884557673
1991	0.966376089664	0.0022490257677
1992	0.962457838393	0.00230191959111
1993	0.963603402594	0.00221151400298
1994	0.964494626581	0.0021583592711
1995	0.966421404682	0.00208357402146
1996	0.969877277798	0.00190304681588
1997	0.959305954313	0.00220749962436
1998	0.97076372315	0.00184033036899
1999	0.964993090742	0.00197232772185
2000	0.963587322994	0.00183845179835
2001	0.962110828275	0.00188917495849
2002	0.9657425245	0.00166465553579
2003	0.955947136564	0.001820107619
2004	0.942164314151	0.00198603009737
2005	0.956498470948	0.00178357152134
2006	0.932422451994	0.0021572389044
2007	0.918289340834	0.00232623470508
2008	0.827320909557	0.00285335257432
