year	rho	sigma_sampling
1800	0.625	0.0988211768803
1801	0.6	0.0692820323028
1802	0.535714285714	0.0942497612342
1803	0.466666666667	0.0743697801364
1804	0.324324324324	0.0769587564124
1805	0.451612903226	0.0632020172281
1806	0.472222222222	0.0832046331278
1807	0.367647058824	0.0584710459974
1808	0.547169811321	0.0683739728839
1809	0.5	0.0615457454897
1810	0.567164179104	0.0605311037654
1811	0.364864864865	0.039570198933
1812	0.678571428571	0.0624088256261
1813	0.313432835821	0.0566730204113
1814	0.448275862069	0.0653009760654
1815	0.575	0.0552692274236
1816	0.545454545455	0.0530794734656
1817	0.571428571429	0.0661300071266
1818	0.28	0.0401596812736
1819	0.433962264151	0.0680786195684
1820	0.405405405405	0.0466008412206
1821	0.457446808511	0.0513839558011
1822	0.397590361446	0.0379847992688
1823	0.72641509434	0.0306175591696
1824	0.220077220077	0.0257432554634
1825	0.658385093168	0.0373762273952
1826	0.579439252336	0.0477228569611
1827	0.515463917526	0.0507430221961
1828	0.542857142857	0.0595414939716
1829	0.370689655172	0.0448444471172
1830	0.545454545455	0.0452663270665
1831	0.492307692308	0.0438477109658
1832	0.496855345912	0.0396517950414
1833	0.56862745098	0.0400400349464
1834	0.41134751773	0.0414404415304
1835	0.463768115942	0.0424509308016
1836	0.489051094891	0.0427076397443
1837	0.652892561983	0.0432772977428
1838	0.467153284672	0.0426256059993
1839	0.461538461538	0.0345660397797
1840	0.441717791411	0.0388960534029
1841	0.601398601399	0.0409432767805
1842	0.5625	0.0392184387438
1843	0.548872180451	0.0431478930717
1844	0.595238095238	0.0378695839453
1845	0.576923076923	0.034256024192
1846	0.553072625698	0.0371606279602
1847	0.475409836066	0.0369163375385
1848	0.550561797753	0.037284474629
1849	0.451428571429	0.0376176870502
1850	0.491228070175	0.0296128856049
1851	0.486153846154	0.0277243732827
1852	0.353909465021	0.0306753581074
1853	0.458471760797	0.0287199448766
1854	0.452702702703	0.0289315925275
1855	0.394495412844	0.027027496594
1856	0.311688311688	0.0263923141634
1857	0.488970588235	0.0303095762432
1858	0.459677419355	0.0316466179135
1859	0.52466367713	0.0334417171222
1860	0.484320557491	0.029499551469
1861	0.305	0.0325557214634
1862	0.261627906977	0.0335131651732
1863	0.429268292683	0.0345703260305
1864	0.421621621622	0.0363062670342
1865	0.351020408163	0.0304928952057
1866	0.452380952381	0.0313538703152
1867	0.495327102804	0.0341778036426
1868	0.326086956522	0.0309104072321
1869	0.410891089109	0.0346166847255
1870	0.339366515837	0.0318506756192
1871	0.35546875	0.0299159445999
1872	0.469565217391	0.0329078901605
1873	0.515625	0.0312347374838
1874	0.270642201835	0.030091222197
1875	0.383966244726	0.031591817001
1876	0.524344569288	0.030563211463
1877	0.460869565217	0.03286790486
1878	0.53164556962	0.0324133741946
1879	0.395189003436	0.0286593126705
1880	0.346590909091	0.0253647063104
1881	0.427966101695	0.0322076892003
1882	0.474637681159	0.030057719401
1883	0.435523114355	0.0244572585725
1884	0.508474576271	0.0291069437552
1885	0.420338983051	0.02873927935
1886	0.447368421053	0.0329293446758
1887	0.5375	0.0321839601613
1888	0.497959183673	0.0319435621612
1889	0.43347639485	0.0324648776847
1890	0.507874015748	0.0313688997819
1891	0.402135231317	0.0292505733162
1892	0.38080495356	0.0270186577494
1893	0.239495798319	0.027663764555
1894	0.447674418605	0.0268101656317
1895	0.381322957198	0.0302978572467
1896	0.442934782609	0.0258939917156
1897	0.511551155116	0.0287165831517
1898	0.44474393531	0.0257997036755
1899	0.440789473684	0.0232498874537
1900	0.494565217391	0.0260627619963
1901	0.449541284404	0.0275089042032
1902	0.478723404255	0.029747596987
1903	0.457337883959	0.0291037888444
1904	0.378823529412	0.0235305190051
1905	0.444668008048	0.0222903092995
1906	0.374233128834	0.0218838117101
1907	0.472727272727	0.0254444236918
1908	0.530555555556	0.0263030605541
1909	0.526315789474	0.0277821845952
1910	0.455621301775	0.0270890778632
1911	0.542134831461	0.0264056863119
1912	0.502941176471	0.027115838083
1913	0.492401215805	0.027562708744
1914	0.521582733813	0.0299600564782
1915	0.597285067873	0.0329908540438
1916	0.48828125	0.0312414157521
1917	0.521367521368	0.0326561619053
1918	0.515306122449	0.0356975476931
1919	0.575	0.0349553286353
1920	0.613138686131	0.0294226461828
1921	0.582568807339	0.0333993347222
1922	0.513833992095	0.0314226964537
1923	0.5	0.0307728727448
1924	0.53125	0.0333423420676
1925	0.551282051282	0.0325136494162
1926	0.502074688797	0.0322075540523
1927	0.475	0.0279158892927
1928	0.4	0.029541957835
1929	0.441509433962	0.0305038725463
1930	0.492125984252	0.0313688997819
1931	0.55938697318	0.0307301434139
1932	0.49756097561	0.034921099301
1933	0.540540540541	0.0409644262756
1934	0.530612244898	0.0356472864742
1935	0.632558139535	0.0328795079776
1936	0.624161073826	0.0280569906437
1937	0.73178807947	0.0254934276828
1938	0.68	0.0295025422633
1939	0.581081081081	0.0331136357893
1940	0.746341463415	0.0303890130501
1941	0.7	0.0332454983102
1942	0.804444444444	0.0264418506872
1943	0.742857142857	0.0330385409712
1944	0.801886792453	0.0273744444712
1945	0.720670391061	0.033535154448
1946	0.618556701031	0.0348741706209
1947	0.745614035088	0.0235499808028
1948	0.666666666667	0.0264350528573
