year	rho	sigma_sampling
1800	0.659217877095	0.0158431441075
1801	0.652340019102	0.0147177364291
1802	0.616438356164	0.0146945182589
1803	0.671860678277	0.0142153113016
1804	0.636518771331	0.0140502093639
1805	0.617117117117	0.0133187865714
1806	0.630659767141	0.0122745654961
1807	0.581379772271	0.0127676262116
1808	0.573261309926	0.0128522686939
1809	0.653641207815	0.0115775854588
1810	0.632142857143	0.0117650173868
1811	0.687690742625	0.0104519484993
1812	0.608550805108	0.0115008321817
1813	0.654485049834	0.0111898538468
1814	0.671314741036	0.01048265641
1815	0.730898606439	0.00972188546349
1816	0.709556860651	0.0104895117616
1817	0.722891566265	0.00912270025969
1818	0.68124762267	0.00908832654843
1819	0.67980513729	0.00981832564266
1820	0.741052631579	0.00759686577258
1821	0.759884678748	0.00866880909546
1822	0.714285714286	0.0081679340313
1823	0.724523339908	0.0081000740623
1824	0.772099447514	0.00697196221226
1825	0.788709299602	0.00624792193747
1826	0.805666769326	0.00694400646507
1827	0.777207669457	0.00683820003689
1828	0.788547486034	0.00682462572497
1829	0.782809836864	0.00643407118525
1830	0.782890007189	0.00638213650645
1831	0.836595920049	0.00530742876
1832	0.784900990099	0.0064645152093
1833	0.832321041215	0.0055021732162
1834	0.771767241379	0.00616131155067
1835	0.777579010137	0.00586317680141
1836	0.781275221953	0.00587199083231
1837	0.764397905759	0.00670074338877
1838	0.793355366151	0.0053401049635
1839	0.746875	0.00572901870074
1840	0.743042826196	0.00564060233545
1841	0.78208596333	0.00506090809007
1842	0.775930324624	0.00586639408522
1843	0.752209492635	0.00552320461049
1844	0.768618714195	0.00531987593338
1845	0.770603460019	0.00490717218367
1846	0.77946715023	0.00489673118302
1847	0.751525582851	0.00540540595859
1848	0.773186162337	0.00485860542435
1849	0.75310616312	0.0047826066518
1850	0.777958211541	0.00432444144754
1851	0.740890193201	0.00484501688902
1852	0.757122439257	0.0041858680466
1853	0.747599962718	0.00419372279518
1854	0.736771779797	0.00415642737206
1855	0.738731928565	0.00427053422432
1856	0.760423845624	0.00396160306111
1857	0.703825717322	0.00470664482637
1858	0.720211161388	0.00465933926697
1859	0.730526724222	0.00436986112334
1860	0.738140581717	0.00409048731912
1861	0.705794777829	0.00487649232968
1862	0.696232339089	0.00526002157178
1863	0.696889477167	0.00528768074627
1864	0.689207807118	0.00495907945938
1865	0.718580045486	0.00447172427352
1866	0.710989557434	0.00452061311981
1867	0.719517062463	0.00448741848889
1868	0.708162171816	0.0042960262152
1869	0.717677136596	0.00430121214042
1870	0.699638000196	0.00453432342501
1871	0.684020488706	0.00426016450073
1872	0.717108825122	0.00427851599935
1873	0.699261343651	0.00430027235481
1874	0.711548860564	0.00398187356398
1875	0.687155106546	0.00427206363796
1876	0.692846804296	0.00402636725603
1877	0.681961903293	0.00408977931962
1878	0.670129660949	0.00421932241996
1879	0.70272683006	0.004117470748
1880	0.689792195948	0.00373350865246
1881	0.674677722355	0.00377071436187
1882	0.686077354882	0.00364496164014
1883	0.699793727191	0.00333337053203
1884	0.679284649776	0.00360374878795
1885	0.650177559031	0.00376433940052
1886	0.679427942794	0.00399674981031
1887	0.663445518161	0.00352145139643
1888	0.686109919735	0.00363255553306
1889	0.662955119885	0.00390688138723
1890	0.679994764741	0.00377359630847
1891	0.692573908963	0.00353400131207
1892	0.674196442709	0.00340487295395
1893	0.673139158576	0.00336189666623
1894	0.684760132341	0.0033405398745
1895	0.652177990341	0.0032613447878
1896	0.659836397505	0.00301485433217
1897	0.674126181578	0.0031077949841
1898	0.669032684054	0.00302288476069
1899	0.63283704412	0.00281682700936
1900	0.687970720789	0.00254814805928
1901	0.661818057362	0.00276770164038
1902	0.650038149911	0.00287496054938
1903	0.650726571767	0.00290264061326
1904	0.686666893942	0.00270830739461
1905	0.6448305116	0.00290648339277
1906	0.626972010178	0.00281687697323
1907	0.641809891266	0.00283962760031
1908	0.617424106341	0.00291309722015
1909	0.634783263095	0.00295354275574
1910	0.621688570839	0.00284458252705
1911	0.610494793439	0.00284464043333
1912	0.60493033951	0.00284281876894
1913	0.594286918942	0.00291059992008
1914	0.606581421587	0.00299579999702
1915	0.584586625882	0.00321203223918
1916	0.561462763739	0.00320421034229
1917	0.560054085378	0.00308525130522
1918	0.556908155186	0.00349443527393
1919	0.540657292902	0.00324312029718
1920	0.562164334515	0.00299876117977
1921	0.565221262577	0.00330764721383
1922	0.572969520633	0.00294646703586
1923	0.562476117692	0.00323243506779
1924	0.53090643675	0.00337061035941
1925	0.564992712336	0.00329474560267
1926	0.526452649993	0.00343317475788
1927	0.556424533515	0.0032389453321
1928	0.53048280623	0.00327817999863
1929	0.497457061864	0.00322825154406
1930	0.505124636214	0.00324706194625
1931	0.497170222029	0.00329900179067
1932	0.446334751063	0.00351642944047
1933	0.439134924277	0.00375884640011
1934	0.460558473298	0.0035942943679
