year	rho	sigma_sampling
1800	0.233333333333	0.0546029438902
1801	0.244047619048	0.0331382726046
1802	0.194444444444	0.0466422261102
1803	0.447916666667	0.0507534200807
1804	0.316666666667	0.042464582192
1805	0.236842105263	0.0487674290622
1806	0.190909090909	0.0374727549412
1807	0.21875	0.0326820322865
1808	0.223021582734	0.0353077891389
1809	0.303448275862	0.0381799206786
1810	0.486772486772	0.0363569191608
1811	0.260416666667	0.0316721343735
1812	0.177914110429	0.029955046047
1813	0.426573426573	0.0413587864786
1814	0.239583333333	0.0308037436613
1815	0.302040816327	0.0293335610257
1816	0.302816901408	0.0385584270059
1817	0.299145299145	0.0423313535924
1818	0.331460674157	0.035283323212
1819	0.297674418605	0.0311832065055
1820	0.263157894737	0.0304594653522
1821	0.218274111675	0.0294303379373
1822	0.224615384615	0.0231492358146
1823	0.371024734982	0.0287160696085
1824	0.196808510638	0.0205039514081
1825	0.290429042904	0.0260793416177
1826	0.199029126214	0.0278184590819
1827	0.169724770642	0.0254246749388
1828	0.221498371336	0.0236998634413
1829	0.197452229299	0.0224647527488
1830	0.175531914894	0.0196187370917
1831	0.37898089172	0.027377659277
1832	0.250825082508	0.0249032358689
1833	0.268571428571	0.0236909154576
1834	0.27808988764	0.0237470224055
1835	0.286516853933	0.0239630419057
1836	0.235632183908	0.0227498678672
1837	0.282178217822	0.0223913035192
1838	0.22311827957	0.0215860688405
1839	0.192946058091	0.0179740405684
1840	0.202298850575	0.0192607053756
1841	0.198757763975	0.0181580999746
1842	0.396600566572	0.0260370490645
1843	0.303178484108	0.0227273243817
1844	0.25831702544	0.0193631148034
1845	0.193675889328	0.0175677986062
1846	0.227926078029	0.0190091181505
1847	0.255144032922	0.019774737354
1848	0.216919739696	0.0191956230452
1849	0.172199170124	0.017197088913
1850	0.180167597765	0.0143629739339
1851	0.139745916515	0.0147709060267
1852	0.16621253406	0.0137407847535
1853	0.21107266436	0.013858778368
1854	0.203225806452	0.0131951880299
1855	0.231197771588	0.0157339192347
1856	0.218543046358	0.0137295697406
1857	0.199181446112	0.0147516132092
1858	0.184542586751	0.0154065116117
1859	0.181481481481	0.0135421588337
1860	0.177671068427	0.0132436788642
1861	0.158815612382	0.0134090432536
1862	0.178947368421	0.0175873882898
1863	0.205270457698	0.0150419891681
1864	0.179422835634	0.0135915632592
1865	0.151856017998	0.0120364915623
1866	0.196129032258	0.0142630782075
1867	0.188221709007	0.0132829527165
1868	0.14511627907	0.0107425493756
1869	0.151956323931	0.0108285337163
1870	0.19751552795	0.0140320460282
1871	0.20907079646	0.0135248132554
1872	0.203225806452	0.0131951880299
1873	0.228971962617	0.0128450071377
1874	0.186868686869	0.0123888505078
1875	0.186500888099	0.0116077968391
1876	0.13339731286	0.0105329420995
1877	0.189247311828	0.0128445112663
1878	0.167846309403	0.0118839146549
1879	0.202441505595	0.0128160529427
1880	0.201054216867	0.0109980631765
1881	0.170616113744	0.0115814140807
1882	0.209164818921	0.0110570280596
1883	0.207674943567	0.00963633494219
1884	0.227180527383	0.010895332612
1885	0.181747269891	0.0107704454841
1886	0.268755152514	0.012728563944
1887	0.218690400509	0.0104222642154
1888	0.217492260062	0.0114771740379
1889	0.282643312102	0.0127055103092
1890	0.236316246742	0.0125217752392
1891	0.223391089109	0.0103612804558
1892	0.217981888745	0.0105005939869
1893	0.25974025974	0.0106538112311
1894	0.288068556361	0.0116271754281
1895	0.272189349112	0.00915034348311
1896	0.285914179104	0.00975844595176
1897	0.245129134572	0.00915656602579
1898	0.234375	0.00895034315421
1899	0.241940631982	0.00765113416421
1900	0.315772251309	0.00840834742878
1901	0.36452173913	0.00897621283232
1902	0.312333965844	0.0090283437224
1903	0.395653673681	0.00908189417022
1904	0.341094647717	0.00824388400759
1905	0.368747718145	0.00921870961557
1906	0.345629262244	0.00837307547124
1907	0.29309252218	0.00810242761236
1908	0.296566393194	0.00796175085266
1909	0.350149476831	0.0092212632988
1910	0.348837209302	0.00850668853476
1911	0.350268977884	0.0082471647579
1912	0.358771060456	0.00871784310762
1913	0.373046875	0.00872546605229
1914	0.349123461395	0.00920641227039
1915	0.393414943014	0.0100366492962
1916	0.437797147385	0.00987502743535
1917	0.422934232715	0.0090727036733
1918	0.435950413223	0.0100802082991
1919	0.435643564356	0.00900784859813
1920	0.387179487179	0.00822184450311
1921	0.391982182628	0.00940573028064
1922	0.420765027322	0.00837230151075
1923	0.397707231041	0.00839109066411
1924	0.402020931072	0.00931427510315
1925	0.366520100503	0.00853942814535
1926	0.440728476821	0.00903427774374
1927	0.451882845188	0.00892851017726
1928	0.396171693735	0.00832942124988
1929	0.462830396476	0.00827358497314
1930	0.434841141626	0.00813447696219
1931	0.480196738286	0.00803834698289
1932	0.40796555436	0.0080620851929
1933	0.444636081407	0.00922926409877
1934	0.501244813278	0.00831600051559
1935	0.525903041825	0.00769747984202
1936	0.526391901663	0.00775161942086
1937	0.49696724626	0.00710943289373
1938	0.514111006585	0.00766479164264
1939	0.535781990521	0.00767712872673
1940	0.612347641759	0.0079308418942
1941	0.650208986416	0.00770805567971
1942	0.681208935611	0.00755467711392
1943	0.679133273969	0.00804246798135
1944	0.693358754369	0.00821950975889
1945	0.681186868687	0.00827958649893
1946	0.63612244898	0.0068730571115
1947	0.619093725794	0.00675762593116
1948	0.638877073586	0.00700478596844
1949	0.598734177215	0.00711940893593
1950	0.607467404188	0.00686338375396
1951	0.622404153355	0.00685042767084
1952	0.589713155292	0.00691836744216
1953	0.622504537205	0.00688382901505
1954	0.601766654398	0.00664084056062
1955	0.610706062932	0.00675387054871
1956	0.615384615385	0.00647694340808
1957	0.598630136986	0.00641424057899
1958	0.644628099174	0.00628033564887
1959	0.627536738978	0.00639462658504
1960	0.616369094644	0.00611237052555
1961	0.628563404016	0.00572593479953
1962	0.637831125828	0.0056454598565
1963	0.626342347005	0.00550276764194
1964	0.60116064363	0.00562344411707
1965	0.632670594011	0.0053406136661
1966	0.619790426292	0.00529719573537
1967	0.655358519661	0.00498774498111
1968	0.637037037037	0.00487731005182
1969	0.647909628378	0.00490753546416
1970	0.664521401573	0.00477219006116
1971	0.662541597338	0.00482191411944
1972	0.678655599959	0.00472723755869
1973	0.671208354053	0.00468487520049
1974	0.695459693195	0.00466962148396
