year	rho	sigma_sampling
1800	0.278350515464	0.0455064860003
1801	0.172972972973	0.0278075746626
1802	0.36231884058	0.0578658992395
1803	0.168316831683	0.0372290576196
1804	0.384615384615	0.0406835296421
1805	0.344262295082	0.0351224063482
1806	0.28021978022	0.0332899891722
1807	0.286852589641	0.0285484268416
1808	0.319298245614	0.027615586494
1809	0.490099009901	0.0351729792213
1810	0.40221402214	0.0297863178758
1811	0.373702422145	0.0284580017042
1812	0.0808510638298	0.0177828711881
1813	0.396284829721	0.027215637206
1814	0.233890214797	0.0206797135914
1815	0.243654822335	0.0305854175373
1816	0.194444444444	0.0269289018003
1817	0.24200913242	0.0289418178945
1818	0.272277227723	0.0313193657064
1819	0.292929292929	0.0264079445674
1820	0.388461538462	0.0302272910055
1821	0.362989323843	0.028685810262
1822	0.273712737127	0.0232107158379
1823	0.302114803625	0.0252385266958
1824	0.263063063063	0.0186895397788
1825	0.248792270531	0.021247033135
1826	0.236111111111	0.0223831939882
1827	0.437308868502	0.027431862879
1828	0.306962025316	0.0259464114449
1829	0.321649484536	0.021210340487
1830	0.430317848411	0.0244821374807
1831	0.301587301587	0.0218546217608
1832	0.274691358025	0.0247977009993
1833	0.330900243309	0.0232098892573
1834	0.449908925319	0.0212321234884
1835	0.444636678201	0.0206693738386
1836	0.379020979021	0.0181433328402
1837	0.268729641694	0.0178900924927
1838	0.429457364341	0.0194905557155
1839	0.424920127796	0.019757435321
1840	0.347022587269	0.0215706618383
1841	0.270588235294	0.0170367354912
1842	0.393203883495	0.0170163609698
1843	0.381625441696	0.0204190837757
1844	0.23275862069	0.0148299907982
1845	0.360303413401	0.0170699780702
1846	0.382470119522	0.0177104769075
1847	0.385220125786	0.0192968200722
1848	0.44248985115	0.0182707269283
1849	0.314883148831	0.0162896503267
1850	0.433297758805	0.0161882868382
1851	0.400171379606	0.0143417179164
1852	0.518038852914	0.0151975763619
1853	0.31103074141	0.0113652341331
1854	0.332763045338	0.0137816220406
1855	0.511691884457	0.0107034405897
1856	0.427655024947	0.0132082989901
1857	0.415480427046	0.0146991309263
1858	0.27731092437	0.0136793196737
1859	0.344329896907	0.0124565725072
1860	0.399852724595	0.013293185472
1861	0.304298642534	0.0154751654311
1862	0.315664556962	0.013072958745
1863	0.334358186011	0.013079394214
1864	0.322607959356	0.0136029353782
1865	0.41385597083	0.0148704281021
1866	0.397540983607	0.0140111825936
1867	0.46623270952	0.0142298855252
1868	0.434309623431	0.0143385478168
1869	0.358720487433	0.0132363855914
1870	0.430441898527	0.0141641554036
1871	0.37595024188	0.0127332870124
1872	0.461794019934	0.0128507999179
1873	0.390188679245	0.0134006891919
1874	0.379651162791	0.0117016237539
1875	0.383510306059	0.0121522239389
1876	0.331367924528	0.0114297284692
1877	0.44906570223	0.0122118554565
1878	0.384341637011	0.0118467663819
1879	0.491478834524	0.0117216993286
1880	0.403823178017	0.00979173854496
1881	0.466732869911	0.0111167251465
1882	0.453264443401	0.0107888872543
1883	0.504306632214	0.0103758285353
1884	0.448548812665	0.010429492199
1885	0.412392285597	0.00997174688284
1886	0.584234930448	0.0111867772762
1887	0.458799593082	0.0112382531974
1888	0.555900621118	0.011304076853
1889	0.501813236627	0.0106454590699
1890	0.482412060302	0.0112014595329
1891	0.516945323091	0.0106225734801
