year	rho	sigma_sampling
1800	0.3	0.0374165738677
1801	0.272727272727	0.0308063178941
1802	0.165898617512	0.0252522998195
1803	0.144	0.0222048643319
1804	0.101214574899	0.0191911527278
1805	0.132	0.0214080358744
1806	0.15859030837	0.0242453885402
1807	0.135265700483	0.0237711401725
1808	0.123028391167	0.0184487016747
1809	0.18954248366	0.0224056577347
1810	0.146496815287	0.0199550049911
1811	0.136075949367	0.019287899185
1812	0.168253968254	0.0210776772327
1813	0.149090909091	0.0214783451129
1814	0.132992327366	0.0171726130792
1815	0.204747774481	0.0219809820231
1816	0.161849710983	0.0198006234238
1817	0.266862170088	0.0239529568433
1818	0.239864864865	0.0248189192948
1819	0.166666666667	0.0205152484966
1820	0.216704288939	0.0195746842137
1821	0.170588235294	0.0203995306516
1822	0.230642504119	0.017097768066
1823	0.225225225225	0.0198246151904
1824	0.165085388994	0.0161722349352
1825	0.200972447326	0.0161326813645
1826	0.169590643275	0.0165686978521
1827	0.27970749543	0.0191916730701
1828	0.231683168317	0.0187746446795
1829	0.214953271028	0.0177599971743
1830	0.24907063197	0.0186453125686
1831	0.304347826087	0.0188161420615
1832	0.289473684211	0.0183925878216
1833	0.252699784017	0.0201957271091
1834	0.255216693419	0.0174672880608
1835	0.320490367776	0.0195293255595
1836	0.268996960486	0.0172870278216
1837	0.250819672131	0.0175512908405
1838	0.276203966006	0.016827542813
1839	0.263868065967	0.0170650800208
1840	0.195792880259	0.0159620316238
1841	0.257617728532	0.0162754524503
1842	0.320422535211	0.0195797364955
1843	0.279411764706	0.0181380342113
1844	0.273560209424	0.0161279659087
1845	0.219346049046	0.0152737669273
1846	0.263363754889	0.0159040181511
1847	0.271802325581	0.0169612169353
1848	0.299610894942	0.0164976202573
1849	0.397727272727	0.0184460318956
1850	0.292715231788	0.0165594663856
1851	0.303921568627	0.0151805850361
1852	0.317286652079	0.0153947272969
1853	0.308784383319	0.0137617123767
1854	0.274752475248	0.0128222022982
1855	0.357142857143	0.0160075260179
1856	0.344941956882	0.0136879764474
1857	0.401301518438	0.0161426198438
1858	0.317620650954	0.0155965467501
1859	0.333011583012	0.0146422877756
1860	0.372262773723	0.0156100553481
1861	0.341359773371	0.0178454681758
