year	rho	sigma_sampling
1800	0.24	0.0854166260163
1801	0.75	0.076546554462
1802	0.238095238095	0.0657205294612
1803	0.724137931034	0.0829960921123
1804	0.25	0.051031036308
1805	0.477611940299	0.0610234570488
1806	0.5	0.0912870929175
1807	0.25	0.0652791209834
1808	0.571428571429	0.0706959513293
1809	0.52808988764	0.0529161896397
1810	0.5	0.0581238193719
1811	0.519230769231	0.0692862203964
1812	0.5125	0.055884227426
1813	0.220338983051	0.0539600787147
1814	0.540983606557	0.0638030196101
1815	0.446428571429	0.0664306972449
1816	0.583333333333	0.0711593803192
1817	0.444444444444	0.0676200688278
1818	0.469696969697	0.0614326098324
1819	0.446808510638	0.0725186205669
1820	0.505747126437	0.0536020854949
1821	0.410714285714	0.0657413847186
1822	0.346666666667	0.0549531787238
1823	0.469879518072	0.0547824565807
1824	0.601694915254	0.0450666309161
1825	0.388059701493	0.059534183028
1826	0.407407407407	0.0545946467548
1827	0.405063291139	0.055231047647
1828	0.416666666667	0.0503172803687
1829	0.58940397351	0.040033672046
1830	0.241666666667	0.0390793944947
1831	0.381355932203	0.044714118763
1832	0.201492537313	0.0346510638979
1833	0.390243902439	0.0538690371097
1834	0.387755102041	0.0492184927584
1835	0.292207792208	0.0366469996983
1836	0.449275362319	0.0423432327064
1837	0.326424870466	0.03375250322
1838	0.429530201342	0.0405527254339
1839	0.441340782123	0.0371136783168
1840	0.525423728814	0.0375336861139
1841	0.443298969072	0.0356663369756
1842	0.503105590062	0.0394047601966
1843	0.263473053892	0.0340882092602
1844	0.389705882353	0.0418185161294
1845	0.445205479452	0.0411310601995
1846	0.327868852459	0.0347017635531
1847	0.385964912281	0.0372282354305
1848	0.393665158371	0.0328642416256
1849	0.466346153846	0.0345901427321
1850	0.469230769231	0.0309499132867
1851	0.477443609023	0.030625755122
1852	0.383333333333	0.031383972083
1853	0.388405797101	0.0262400696954
1854	0.475409836066	0.031970486123
1855	0.446902654867	0.0330714346127
1856	0.49356223176	0.0327533738484
1857	0.4	0.0303821810125
1858	0.344262295082	0.0351224063482
1859	0.417355371901	0.0316991191477
1860	0.339160839161	0.0279941779874
1861	0.458536585366	0.0348012324738
1862	0.352941176471	0.0309766584951
1863	0.340517241379	0.0311119536917
1864	0.402985074627	0.034597048177
1865	0.398268398268	0.032209452594
1866	0.321568627451	0.0292495849
1867	0.41	0.0283960091093
1868	0.4	0.0292770021885
1869	0.35873015873	0.0270239653751
1870	0.357429718876	0.030370781968
1871	0.345864661654	0.0291639323978
1872	0.375	0.0274080631033
1873	0.419672131148	0.0282580285116
1874	0.330666666667	0.0242940992683
1875	0.341954022989	0.0254285944775
1876	0.368876080692	0.0259019720292
1877	0.380597014925	0.0296586882362
1878	0.371165644172	0.0267573571534
1879	0.486486486486	0.0290512934629
1880	0.37044534413	0.0217277780351
1881	0.451247165533	0.0236960707025
1882	0.447826086957	0.0231853534538
1883	0.447463768116	0.0211636114567
1884	0.523913043478	0.0232859430611
1885	0.382536382536	0.0221599880369
1886	0.510152284264	0.0251844430227
1887	0.406032482599	0.023655008136
1888	0.469667318982	0.0220779586742
1889	0.501170960187	0.0241966295702
1890	0.437219730942	0.0234883158539
1891	0.425162689805	0.0230249971208
1892	0.524822695035	0.0210278367433
1893	0.502016129032	0.0224504802388
1894	0.582089552239	0.0213036550633
1895	0.526209677419	0.022419796696
1896	0.553662691652	0.0205180070299
1897	0.480707395498	0.0200332438908
1898	0.535042735043	0.020621621991
1899	0.547091412742	0.0185253587838
1900	0.57345971564	0.0170239471067
1901	0.544134078212	0.016647921109
1902	0.495838287753	0.0172407820638
1903	0.588165680473	0.0169310055828
1904	0.517543859649	0.0176889092375
1905	0.56275862069	0.0184226755153
1906	0.565989847716	0.0176559526781
1907	0.616236162362	0.0170553384298
1908	0.56050955414	0.0177146020541
1909	0.647727272727	0.0180031820456
1910	0.654685494223	0.0170355061467
1911	0.662665066026	0.016381557732
1912	0.683856502242	0.0155683357855
1913	0.63243873979	0.0164696241099
1914	0.686600221484	0.0154368056725
1915	0.657248157248	0.0166357500037
1916	0.755162241888	0.0165137035396
1917	0.699564586357	0.0174654531853
1918	0.771390374332	0.0153544252675
1919	0.734353268428	0.0164717715111
1920	0.705808080808	0.0161918358385
1921	0.664254703329	0.0179652499601
1922	0.782352941176	0.0129204510563
1923	0.747586206897	0.0161331130953
1924	0.651888341544	0.0193035526692
1925	0.727882037534	0.016294449497
1926	0.733727810651	0.0170003180673
1927	0.797872340426	0.0138068433374
1928	0.794238683128	0.0149724757692
1929	0.785630153121	0.0140843586497
1930	0.770114942529	0.0142650572928
1931	0.827771797632	0.0123879541771
1932	0.806849315068	0.014611100014
1933	0.836111111111	0.0137955971734
1934	0.796423658872	0.0149337378469
1935	0.868144690782	0.0115572486384
1936	0.806451612903	0.0127444835733
1937	0.812354312354	0.0133290253918
1938	0.883103081828	0.0104739963767
1939	0.89259645464	0.0099983326975
1940	0.853632478632	0.0115536684362
1941	0.869212962963	0.0114706644749
1942	0.911170928668	0.010437177791
1943	0.929594272076	0.00883748534677
1944	0.898161244696	0.0113742819673
1945	0.885359116022	0.011840231987
1946	0.914696813977	0.00895498348209
1947	0.891800507185	0.009031379623
1948	0.885633270321	0.00978439504566
1949	0.85594639866	0.0101620933757
1950	0.885536823425	0.00948362235517
1951	0.927843803056	0.00753878934646
1952	0.884548611111	0.00941530067953
1953	0.921119592875	0.007850289617
1954	0.931888544892	0.0070090766447
1955	0.903465346535	0.00848293346586
1956	0.904654654655	0.00804709348543
1957	0.905777166437	0.00766137219646
1958	0.926657263752	0.00692309045472
1959	0.948502994012	0.00540819207631
1960	0.937866354045	0.00584445990692
1961	0.91004415011	0.00672150985943
1962	0.934484509904	0.00557615955979
1963	0.933364398882	0.0053834900776
1964	0.934426229508	0.00521040892348
1965	0.93899204244	0.00465912651677
1966	0.90580256217	0.00567003654703
1967	0.924723756906	0.00490270426278
1968	0.927699530516	0.00458182814708
1969	0.926229508197	0.00464124032016
1970	0.921716344579	0.00486150560247
1971	0.944059976932	0.00390230822502
1972	0.93693147362	0.00423286999624
1973	0.961369622476	0.00329675887769
1974	0.967388167388	0.00301742419445
1975	0.973676427093	0.00275332298583
1976	0.973436635307	0.0026748615731
1977	0.968245705362	0.00282888533636
1978	0.967272727273	0.00286747086839
1979	0.980817768804	0.00217914679817
1980	0.978166986564	0.00226359896376
1981	0.976966429797	0.00234821118564
1982	0.981722087646	0.00198784183102
1983	0.982638888889	0.00192410822892
1984	0.984491440081	0.00175360623905
1985	0.982971014493	0.00174138662681
1986	0.981032665964	0.00180774075513
1987	0.981294487668	0.00174313115711
1988	0.986916443652	0.00138555785773
1989	0.985120718697	0.00143441146691
1990	0.988788659794	0.00119522493122
1991	0.987300796813	0.00124939893047
1992	0.992255780507	0.000922020235166
1993	0.991233837388	0.000975781519213
1994	0.98846192435	0.00106970600639
1995	0.989354361755	0.00101890985491
1996	0.987484242752	0.00105490856426
1997	0.990275952694	0.000918467281502
1998	0.990591507813	0.000873209413038
1999	0.989837248693	0.000860703663039
2000	0.990263899564	0.000785848312377
2001	0.989543307087	0.000807342309966
2002	0.991966313923	0.000664476028894
2003	0.989480917645	0.000741745685176
2004	0.978285051023	0.00101360408312
2005	0.985697663144	0.000826737920329
2006	0.97677376802	0.00103383752981
2007	0.968758416375	0.00116556410544
2008	0.908557082677	0.00188021699719
