year	rho	sigma_sampling
1800	0.791044776119	0.0351216370668
1801	0.892156862745	0.0217170976063
1802	0.535211267606	0.0418548940913
1803	0.848	0.032111804683
1804	0.824324324324	0.0312805237578
1805	0.80981595092	0.0307387643751
1806	0.86301369863	0.0232340734086
1807	0.810526315789	0.023213230287
1808	0.874524714829	0.0204261851984
1809	0.85559566787	0.0211195429362
1810	0.912280701754	0.0167567344892
1811	0.861271676301	0.0185829476111
1812	0.85761589404	0.0201082231153
1813	0.697278911565	0.0267948258187
1814	0.763440860215	0.0254422470019
1815	0.838596491228	0.0217926767136
1816	0.765567765568	0.0256400672234
1817	0.8	0.0234888087806
1818	0.786666666667	0.0273107404369
1819	0.71768707483	0.0262518115638
1820	0.851590106007	0.0149430247361
1821	0.795454545455	0.0229840862203
1822	0.79203539823	0.0190896421772
1823	0.788732394366	0.0171280186218
1824	0.788580246914	0.0160401425967
1825	0.772727272727	0.0163122855128
1826	0.683823529412	0.0230200738293
1827	0.699468085106	0.0236447827802
1828	0.685314685315	0.0224209810273
1829	0.728132387707	0.0216328494236
1830	0.642468239564	0.0204177247967
1831	0.67754318618	0.0204778995632
1832	0.669871794872	0.0188254283376
1833	0.700176366843	0.0192417747221
1834	0.614006514658	0.0196468211375
1835	0.553243574051	0.0173933231123
1836	0.612143742255	0.01715241758
1837	0.724462365591	0.0163799250343
1838	0.509067357513	0.0179924344718
1839	0.604498594189	0.0149688850612
1840	0.559400230681	0.0168606341335
1841	0.513435700576	0.0154838620078
1842	0.460858585859	0.0177122036661
1843	0.557419354839	0.0178417060406
1844	0.505777777778	0.0149061245365
1845	0.486435921422	0.0152869655274
1846	0.511542012927	0.015189379519
1847	0.511737089202	0.0153170634463
1848	0.509776536313	0.0132103845256
1849	0.43279797126	0.0144051944038
1850	0.474700399467	0.012884820346
1851	0.441823899371	0.0139240849805
1852	0.400609756098	0.0121002312873
1853	0.431959345003	0.011770688486
1854	0.507172131148	0.0113158039178
1855	0.465065502183	0.011653184734
1856	0.435067774377	0.0103667720774
1857	0.452062430323	0.0117504237314
1858	0.39375	0.0116460815079
1859	0.401352874859	0.0116378252573
1860	0.383936861653	0.0104789958356
1861	0.367733507511	0.0123233587062
1862	0.343685300207	0.0124767752396
1863	0.290382244143	0.0112712437164
1864	0.32961706253	0.0103494365053
1865	0.310990635781	0.0102764992476
1866	0.318281455502	0.00975316517123
1867	0.32216108054	0.0104518553378
1868	0.291218637993	0.00961653535249
1869	0.321961620469	0.00964845481656
1870	0.315491731941	0.00969411858648
1871	0.331869740212	0.0090072990637
1872	0.317334391115	0.00926992371343
1873	0.27597955707	0.00922496707448
1874	0.281684981685	0.00860910483147
1875	0.287026828372	0.00867228554815
1876	0.341093474427	0.00890373197482
1877	0.292993630573	0.00856159488305
1878	0.264011279521	0.00827593654935
1879	0.287145818936	0.00841012277154
1880	0.295545545546	0.00721815043547
1881	0.297009179745	0.0078631078572
1882	0.304693320089	0.00725318663486
1883	0.287238979118	0.0068921547921
1884	0.307012987013	0.00743379459164
1885	0.291760089686	0.00761010619494
1886	0.310569105691	0.00834453107075
1887	0.306900584795	0.00705388807966
1888	0.290490545355	0.00751550490886
1889	0.312251843449	0.00780415828102
1890	0.330338809035	0.00753525390459
1891	0.308667004562	0.00735377276378
1892	0.323710885853	0.00694564536051
1893	0.361550119073	0.00706925550133
1894	0.316612977451	0.00705590717327
1895	0.291076216009	0.00628614942128
1896	0.261296998965	0.00576983026075
1897	0.274974772957	0.00579042622395
1898	0.252063492063	0.00547037458501
1899	0.269309064783	0.00485426078119
1900	0.278952426718	0.0049156504855
1901	0.285289345592	0.00525060627579
1902	0.31631672842	0.00544771240362
1903	0.301207983193	0.00525706974535
1904	0.303350479633	0.0054203144743
1905	0.301259283177	0.0058296521855
1906	0.300718629077	0.00539084526903
1907	0.280310804867	0.00543836541936
1908	0.296666666667	0.00549908497732
1909	0.301782867082	0.00552649101556
1910	0.266675542538	0.00510259145552
1911	0.240168158394	0.00497467704768
1912	0.245584988962	0.00505588255614
1913	0.274387768908	0.00519018777487
1914	0.259820509048	0.00531920347176
1915	0.24924774323	0.00559294741645
1916	0.255698983796	0.00511226631627
1917	0.237643337287	0.00488660099864
1918	0.225347339885	0.00543851240654
1919	0.21238408615	0.00500190041809
1920	0.23550295858	0.00486560085435
1921	0.215456322358	0.00504132517121
1922	0.230261549743	0.0046542806203
1923	0.187163502409	0.00464270781663
1924	0.186943620178	0.00500569578404
1925	0.198743241268	0.00482401630609
1926	0.19708151627	0.0051518438288
1927	0.214159811986	0.00497194518988
1928	0.200490054771	0.00480663566611
1929	0.166137413395	0.00447174496919
1930	0.189203492988	0.0045052310196
1931	0.187425149701	0.00477482424294
1932	0.183316168898	0.00506923149843
1933	0.162983425414	0.00501232051946
1934	0.18365253078	0.00506328416801
1935	0.167071524966	0.00433357152639
1936	0.164468917548	0.00446238676328
1937	0.190542420028	0.00463157221941
1938	0.154733009709	0.00445430387718
1939	0.153369598066	0.00442948451853
1940	0.151524727445	0.00450706480799
1941	0.159779614325	0.00496544698488
1942	0.160911833724	0.00475725209032
1943	0.13929161314	0.00469063994288
1944	0.13568046119	0.0049137354315
1945	0.127804702926	0.00447315254268
1946	0.136424912375	0.00398523081658
1947	0.156306656307	0.00413253127637
1948	0.133995784402	0.00417980609682
1949	0.131683303706	0.00395418192049
1950	0.124983073798	0.00384820835242
1951	0.132563694268	0.00390625555167
1952	0.136544531357	0.00402237672538
1953	0.0998624168769	0.00321031348228
1954	0.12119497567	0.00347165169003
1955	0.111343561134	0.00339116794808
1956	0.121687462864	0.00356385806164
1957	0.120211360634	0.00341211270988
1958	0.110385221897	0.0033258211554
1959	0.11249719038	0.003349727708
1960	0.111008986928	0.00317462222659
1961	0.0995315124193	0.00281465822667
1962	0.121768648272	0.00305092194108
1963	0.120765315078	0.0030527090061
1964	0.13295254833	0.00318272147895
1965	0.114616104073	0.00293742309648
1966	0.105535518269	0.00272055598345
1967	0.112271924662	0.00270790783297
1968	0.10913924892	0.00254213902162
1969	0.117853129751	0.00262141570833
1970	0.119248138655	0.00253172257409
1971	0.105589672891	0.00243270750185
1972	0.0989569920165	0.00239597516606
1973	0.0822006472492	0.00220977090059
1974	0.0738119312437	0.0020785225386
1975	0.0762976860538	0.00209941099511
1976	0.0703194321207	0.00190406865989
1977	0.0752846325652	0.00194740531563
1978	0.0652340752111	0.00176632596824
1979	0.0596558125533	0.00167766506231
1980	0.0548097398389	0.00154860803513
1981	0.0555654101996	0.00152550955304
1982	0.058161271136	0.00152552889491
1983	0.0490108279736	0.00137742062603
1984	0.0487178489435	0.00134289053899
1985	0.0526964139064	0.00130696901573
1986	0.0512706480305	0.00124304888987
1987	0.0520041413992	0.00120762394342
1988	0.0434328440266	0.00106867944794
1989	0.0390424920295	0.000990180395925
1990	0.0410338069574	0.000981829448153
1991	0.0347176079734	0.000891774036342
1992	0.0362681509078	0.000885692244274
1993	0.0363204491471	0.000869369773505
1994	0.0387335261974	0.000864879132717
1995	0.0349986056332	0.000820217123678
1996	0.0381511371974	0.000830858238234
1997	0.035421905934	0.00078064035935
1998	0.0287784896544	0.000699481507422
1999	0.0320168226663	0.000700002549288
2000	0.0298183582032	0.000607678448953
2001	0.0307603017992	0.00060676332874
2002	0.0226523225417	0.000471798638841
2003	0.0278110397854	0.000493382356295
2004	0.0474483591769	0.000599346947439
2005	0.0357100382947	0.000522510410653
2006	0.0419372481955	0.000556336878535
2007	0.0578098256082	0.000611889423959
2008	0.11058837968	0.000709206643529
